timestamp,phase,inbound_pps,cpu_system_pct,tcp_total,tcp_syn_recv,response_time_sec,ddos_threat_score
2026-04-29 20:10:00+00,baseline,,,,0,,
2026-04-29 20:10:01+00,baseline,,,,,,
2026-04-29 20:10:02+00,baseline,,,8,,0.025426,
2026-04-29 20:10:03+00,baseline,18,,,,,
2026-04-29 20:10:04+00,baseline,,,,,,
2026-04-29 20:10:05+00,baseline,,2.600754,,0,,0.2061618
2026-04-29 20:10:06+00,baseline,,,,,,
2026-04-29 20:10:07+00,baseline,,,7,,,
2026-04-29 20:10:08+00,baseline,16,,,,,
2026-04-29 20:10:09+00,baseline,,,,,,
2026-04-29 20:10:10+00,baseline,,,,0,,
2026-04-29 20:10:11+00,baseline,,,,,0.021391,
2026-04-29 20:10:12+00,baseline,,,7,,,
2026-04-29 20:10:13+00,baseline,17,,,,,
2026-04-29 20:10:14+00,baseline,,,,,,
2026-04-29 20:10:15+00,baseline,,2.528645,,0,,0.2046548
2026-04-29 20:10:16+00,baseline,,,,,,
2026-04-29 20:10:17+00,baseline,,,6,,,
2026-04-29 20:10:18+00,baseline,16,,,,,
2026-04-29 20:10:19+00,baseline,,,,,,
2026-04-29 20:10:20+00,baseline,,,,0,,
2026-04-29 20:10:21+00,baseline,,,,,0.00427,
2026-04-29 20:10:22+00,baseline,,,7,,,
2026-04-29 20:10:23+00,baseline,18,,,,,
2026-04-29 20:10:24+00,baseline,,,,,,
2026-04-29 20:10:25+00,baseline,,2.464997,,0,,0.2019306
2026-04-29 20:10:26+00,baseline,,,,,,
2026-04-29 20:10:27+00,baseline,,,6,,,
2026-04-29 20:10:28+00,baseline,20,,,,,
2026-04-29 20:10:29+00,baseline,,,,,,
2026-04-29 20:10:30+00,baseline,,,,0,,
2026-04-29 20:10:31+00,baseline,,,,,0.023528,
2026-04-29 20:10:32+00,baseline,,,7,,,
2026-04-29 20:10:33+00,baseline,22,,,,,
2026-04-29 20:10:34+00,baseline,,,,,,
2026-04-29 20:10:35+00,baseline,,2.342981,,0,,0.2085822
2026-04-29 20:10:36+00,baseline,,,,,,
2026-04-29 20:10:37+00,baseline,,,6,,,
2026-04-29 20:10:38+00,baseline,17,,,,,
2026-04-29 20:10:39+00,baseline,,,,,,
2026-04-29 20:10:40+00,baseline,,,,0,,
2026-04-29 20:10:41+00,baseline,,,,,0.029375,
2026-04-29 20:10:42+00,baseline,,,7,,,
2026-04-29 20:10:43+00,baseline,19,,,,,
2026-04-29 20:10:44+00,baseline,,,,,,
2026-04-29 20:10:45+00,baseline,,2.330174,,0,,0.16897969999999998
2026-04-29 20:10:46+00,baseline,,,,,,
2026-04-29 20:10:47+00,baseline,,,6,,,
2026-04-29 20:10:48+00,baseline,19,,,,,
2026-04-29 20:10:49+00,baseline,,,,,,
2026-04-29 20:10:50+00,baseline,,,,0,,
2026-04-29 20:10:51+00,baseline,,,,,0.289917,
2026-04-29 20:10:52+00,baseline,,,7,,,
2026-04-29 20:10:53+00,baseline,21,,,,,
2026-04-29 20:10:54+00,baseline,,,,,,
