timestamp,value
2026-04-29 21:05:49+00,0.056152
2026-04-29 21:05:53+00,0.05127
2026-04-29 21:06:03+00,0.042969
2026-04-29 21:06:13+00,0.035645
2026-04-29 21:06:23+00,0.029785
2026-04-29 21:06:33+00,0.024902
2026-04-29 21:06:43+00,0.094727
2026-04-29 21:06:53+00,0.07959
2026-04-29 21:07:03+00,0.066895
2026-04-29 21:07:13+00,0.056152
2026-04-29 21:07:23+00,0.046875
2026-04-29 21:07:33+00,0.039062
2026-04-29 21:07:43+00,0.032715
2026-04-29 21:07:53+00,0.027344
2026-04-29 21:08:03+00,0.022461
2026-04-29 21:08:13+00,0.018555
2026-04-29 21:08:23+00,0.015137
2026-04-29 21:08:33+00,0.012207
2026-04-29 21:08:43+00,0.009766
2026-04-29 21:08:53+00,0.155762
2026-04-29 21:09:03+00,0.211914
2026-04-29 21:09:13+00,0.179199
2026-04-29 21:09:23+00,0.231934
2026-04-29 21:09:33+00,0.195801
2026-04-29 21:09:43+00,0.165039
2026-04-29 21:09:53+00,0.13916
2026-04-29 21:10:03+00,0.117676
2026-04-29 21:10:13+00,0.099121
2026-04-29 21:10:23+00,0.157227
2026-04-29 21:10:33+00,0.132812
2026-04-29 21:10:43+00,0.111816
2026-04-29 21:10:53+00,0.094238
2026-04-29 21:11:03+00,0.079102
2026-04-29 21:11:13+00,0.066895
2026-04-29 21:11:23+00,0.056152
2026-04-29 21:11:33+00,0.046875
2026-04-29 21:11:43+00,0.039062
2026-04-29 21:11:53+00,0.032715
