timestamp,value
2026-04-29 21:05:53+00,3114
2026-04-29 21:05:58+00,1877
2026-04-29 21:06:03+00,1429
2026-04-29 21:06:08+00,1253
2026-04-29 21:06:13+00,1275
2026-04-29 21:06:18+00,1350
2026-04-29 21:06:23+00,1404
2026-04-29 21:06:28+00,1649
2026-04-29 21:06:33+00,1636
2026-04-29 21:06:38+00,1354
2026-04-29 21:06:43+00,1666
2026-04-29 21:06:48+00,1568
2026-04-29 21:06:53+00,1952
2026-04-29 21:06:58+00,2094
2026-04-29 21:07:03+00,1505
2026-04-29 21:07:08+00,1142
2026-04-29 21:07:13+00,1260
2026-04-29 21:07:18+00,1467
2026-04-29 21:07:23+00,1434
2026-04-29 21:07:28+00,1640
2026-04-29 21:07:33+00,1509
2026-04-29 21:07:38+00,1396
2026-04-29 21:07:43+00,1582
2026-04-29 21:07:48+00,1506
2026-04-29 21:07:53+00,1555
2026-04-29 21:07:58+00,1881
2026-04-29 21:08:03+00,1633
2026-04-29 21:08:08+00,1145
2026-04-29 21:08:13+00,1322
2026-04-29 21:08:18+00,1358
2026-04-29 21:08:23+00,1556
2026-04-29 21:08:28+00,1660
2026-04-29 21:08:33+00,1664
2026-04-29 21:08:38+00,1335
2026-04-29 21:08:43+00,1583
2026-04-29 21:08:48+00,1344
2026-04-29 21:08:53+00,1714
2026-04-29 21:08:58+00,1803
2026-04-29 21:09:03+00,1584
2026-04-29 21:09:08+00,1199
2026-04-29 21:09:13+00,1391
2026-04-29 21:09:18+00,1306
2026-04-29 21:09:23+00,1508
2026-04-29 21:09:28+00,1624
2026-04-29 21:09:33+00,1586
2026-04-29 21:09:38+00,1411
2026-04-29 21:09:43+00,1588
2026-04-29 21:09:48+00,1591
2026-04-29 21:09:53+00,1884
2026-04-29 21:09:58+00,2025
2026-04-29 21:10:03+00,1433
2026-04-29 21:10:08+00,1161
2026-04-29 21:10:13+00,1376
2026-04-29 21:10:18+00,1314
2026-04-29 21:10:23+00,1544
2026-04-29 21:10:28+00,1536
2026-04-29 21:10:33+00,1678
2026-04-29 21:10:38+00,1368
2026-04-29 21:10:43+00,1581
2026-04-29 21:10:48+00,1383
2026-04-29 21:10:53+00,1683
2026-04-29 21:10:58+00,1808
2026-04-29 21:11:03+00,1506
2026-04-29 21:11:08+00,1176
2026-04-29 21:11:13+00,1354
2026-04-29 21:11:18+00,1317
2026-04-29 21:11:23+00,1492
2026-04-29 21:11:28+00,1551
2026-04-29 21:11:33+00,1562
2026-04-29 21:11:38+00,1467
2026-04-29 21:11:43+00,1546
2026-04-29 21:11:48+00,1336
2026-04-29 21:11:53+00,1801
2026-04-29 21:11:58+00,1924
