timestamp,value
2026-04-29 21:05:53+00,31
2026-04-29 21:05:58+00,21
2026-04-29 21:06:03+00,17
2026-04-29 21:06:08+00,14
2026-04-29 21:06:13+00,14
2026-04-29 21:06:18+00,15
2026-04-29 21:06:23+00,16
2026-04-29 21:06:28+00,19
2026-04-29 21:06:33+00,19
2026-04-29 21:06:38+00,16
2026-04-29 21:06:43+00,19
2026-04-29 21:06:48+00,18
2026-04-29 21:06:53+00,23
2026-04-29 21:06:58+00,24
2026-04-29 21:07:03+00,17
2026-04-29 21:07:08+00,13
2026-04-29 21:07:13+00,16
2026-04-29 21:07:18+00,16
2026-04-29 21:07:23+00,16
2026-04-29 21:07:28+00,18
2026-04-29 21:07:33+00,19
2026-04-29 21:07:38+00,16
2026-04-29 21:07:43+00,17
2026-04-29 21:07:48+00,17
2026-04-29 21:07:53+00,18
2026-04-29 21:07:58+00,22
2026-04-29 21:08:03+00,19
2026-04-29 21:08:08+00,14
2026-04-29 21:08:13+00,15
2026-04-29 21:08:18+00,16
2026-04-29 21:08:23+00,17
2026-04-29 21:08:28+00,20
2026-04-29 21:08:33+00,19
2026-04-29 21:08:38+00,16
2026-04-29 21:08:43+00,18
2026-04-29 21:08:48+00,17
2026-04-29 21:08:53+00,18
2026-04-29 21:08:58+00,21
2026-04-29 21:09:03+00,19
2026-04-29 21:09:08+00,14
2026-04-29 21:09:13+00,17
2026-04-29 21:09:18+00,15
2026-04-29 21:09:23+00,15
2026-04-29 21:09:28+00,19
2026-04-29 21:09:33+00,19
2026-04-29 21:09:38+00,15
2026-04-29 21:09:43+00,18
2026-04-29 21:09:48+00,18
2026-04-29 21:09:53+00,24
2026-04-29 21:09:58+00,21
2026-04-29 21:10:03+00,17
2026-04-29 21:10:08+00,14
2026-04-29 21:10:13+00,15
2026-04-29 21:10:18+00,15
2026-04-29 21:10:23+00,18
2026-04-29 21:10:28+00,19
2026-04-29 21:10:33+00,17
2026-04-29 21:10:38+00,17
2026-04-29 21:10:43+00,18
2026-04-29 21:10:48+00,17
2026-04-29 21:10:53+00,18
2026-04-29 21:10:58+00,22
2026-04-29 21:11:03+00,18
2026-04-29 21:11:08+00,12
2026-04-29 21:11:13+00,17
2026-04-29 21:11:18+00,14
2026-04-29 21:11:23+00,18
2026-04-29 21:11:28+00,18
2026-04-29 21:11:33+00,17
2026-04-29 21:11:38+00,17
2026-04-29 21:11:43+00,18
2026-04-29 21:11:48+00,16
2026-04-29 21:11:53+00,19
2026-04-29 21:11:58+00,22
