timestamp,value
2026-04-29 21:05:54+00,35294
2026-04-29 21:05:59+00,1695
2026-04-29 21:06:04+00,4458
2026-04-29 21:06:09+00,1318
2026-04-29 21:06:14+00,3202
2026-04-29 21:06:19+00,1259
2026-04-29 21:06:24+00,3053
2026-04-29 21:06:29+00,1489
2026-04-29 21:06:34+00,3612
2026-04-29 21:06:39+00,1197
2026-04-29 21:06:44+00,3478
2026-04-29 21:06:49+00,1517
2026-04-29 21:06:54+00,3728
2026-04-29 21:06:59+00,1847
2026-04-29 21:07:04+00,4587
2026-04-29 21:07:09+00,1133
2026-04-29 21:07:14+00,3204
2026-04-29 21:07:19+00,1220
2026-04-29 21:07:24+00,3273
2026-04-29 21:07:29+00,1461
2026-04-29 21:07:34+00,3491
2026-04-29 21:07:39+00,1258
2026-04-29 21:07:44+00,3470
2026-04-29 21:07:49+00,1205
2026-04-29 21:07:54+00,3551
2026-04-29 21:07:59+00,1688
2026-04-29 21:08:04+00,4573
2026-04-29 21:08:09+00,996
2026-04-29 21:08:14+00,3433
2026-04-29 21:08:19+00,1217
2026-04-29 21:08:24+00,3277
2026-04-29 21:08:29+00,1452
2026-04-29 21:08:34+00,3447
2026-04-29 21:08:39+00,1228
2026-04-29 21:08:44+00,3416
2026-04-29 21:08:49+00,1300
2026-04-29 21:08:54+00,3353
2026-04-29 21:08:59+00,1793
2026-04-29 21:09:04+00,4426
2026-04-29 21:09:09+00,1196
2026-04-29 21:09:14+00,3136
2026-04-29 21:09:19+00,1279
2026-04-29 21:09:24+00,3248
2026-04-29 21:09:29+00,1479
2026-04-29 21:09:34+00,3417
2026-04-29 21:09:39+00,1216
2026-04-29 21:09:44+00,3465
2026-04-29 21:09:49+00,1556
2026-04-29 21:09:54+00,3719
2026-04-29 21:09:59+00,1621
2026-04-29 21:10:04+00,4874
2026-04-29 21:10:09+00,1122
2026-04-29 21:10:14+00,3247
2026-04-29 21:10:19+00,1202
2026-04-29 21:10:24+00,3162
2026-04-29 21:10:29+00,1462
2026-04-29 21:10:34+00,3490
2026-04-29 21:10:39+00,1219
2026-04-29 21:10:45+00,3201
2026-04-29 21:10:49+00,1299
2026-04-29 21:10:54+00,3381
2026-04-29 21:10:59+00,1830
2026-04-29 21:11:04+00,4614
2026-04-29 21:11:09+00,1167
2026-04-29 21:11:14+00,3116
2026-04-29 21:11:19+00,1254
2026-04-29 21:11:24+00,3306
2026-04-29 21:11:29+00,1420
2026-04-29 21:11:34+00,3463
2026-04-29 21:11:39+00,1141
2026-04-29 21:11:44+00,3861
2026-04-29 21:11:49+00,1257
2026-04-29 21:11:54+00,3396
2026-04-29 21:11:59+00,1722
