timestamp,value
2026-04-29 21:05:31+00,0.009211
2026-04-29 21:05:41+00,0.006744
2026-04-29 21:05:51+00,0.007211
2026-04-29 21:06:01+00,0.006212
2026-04-29 21:06:12+00,0.004553
2026-04-29 21:06:21+00,0.02108
2026-04-29 21:06:31+00,0.004223
2026-04-29 21:06:41+00,0.005655
2026-04-29 21:06:51+00,0.022442
2026-04-29 21:07:01+00,0.02337
2026-04-29 21:07:11+00,0.008814
2026-04-29 21:07:21+00,0.048213
2026-04-29 21:07:32+00,0.058643
2026-04-29 21:07:41+00,0.009789
2026-04-29 21:07:51+00,0.005131
2026-04-29 21:08:01+00,0.021195
2026-04-29 21:08:11+00,0.010497
2026-04-29 21:08:21+00,0.007076
2026-04-29 21:08:31+00,0.01017
2026-04-29 21:08:41+00,0.004629
2026-04-29 21:08:51+00,0.01944
2026-04-29 21:09:01+00,0.017395
2026-04-29 21:09:12+00,0.00887
2026-04-29 21:09:21+00,0.009642
2026-04-29 21:09:31+00,0.008464
2026-04-29 21:09:41+00,0.005122
2026-04-29 21:09:51+00,0.012555
2026-04-29 21:10:02+00,0.008486
2026-04-29 21:10:11+00,0.009285
2026-04-29 21:10:21+00,0.008535
2026-04-29 21:10:31+00,0.004609
2026-04-29 21:10:41+00,0.010852
2026-04-29 21:10:52+00,0.01817
2026-04-29 21:11:01+00,0.006528
2026-04-29 21:11:11+00,0.006931
2026-04-29 21:11:21+00,0.00459
2026-04-29 21:11:31+00,0.005452
2026-04-29 21:11:41+00,0.004046
2026-04-29 21:11:51+00,0.007447
