timestamp,value
2026-04-29 21:05:49+00,1
2026-04-29 21:05:52+00,1
2026-04-29 21:06:02+00,1
2026-04-29 21:06:12+00,1
2026-04-29 21:06:22+00,1
2026-04-29 21:06:32+00,1
2026-04-29 21:06:42+00,1
2026-04-29 21:06:52+00,1
2026-04-29 21:07:02+00,1
2026-04-29 21:07:12+00,1
2026-04-29 21:07:22+00,1
2026-04-29 21:07:32+00,1
2026-04-29 21:07:42+00,1
2026-04-29 21:07:52+00,1
2026-04-29 21:08:02+00,1
2026-04-29 21:08:12+00,1
2026-04-29 21:08:22+00,1
2026-04-29 21:08:32+00,1
2026-04-29 21:08:42+00,1
2026-04-29 21:08:52+00,1
2026-04-29 21:09:02+00,1
2026-04-29 21:09:12+00,1
2026-04-29 21:09:22+00,1
2026-04-29 21:09:32+00,1
2026-04-29 21:09:42+00,1
2026-04-29 21:09:52+00,1
2026-04-29 21:10:02+00,1
2026-04-29 21:10:13+00,1
2026-04-29 21:10:22+00,1
2026-04-29 21:10:32+00,1
2026-04-29 21:10:42+00,1
2026-04-29 21:10:52+00,1
2026-04-29 21:11:02+00,1
2026-04-29 21:11:12+00,1
2026-04-29 21:11:22+00,1
2026-04-29 21:11:32+00,1
2026-04-29 21:11:42+00,1
2026-04-29 21:11:52+00,1
