timestamp,value
2026-04-29 21:05:49+00,1
2026-04-29 21:05:52+00,2
2026-04-29 21:05:57+00,2
2026-04-29 21:06:02+00,3
2026-04-29 21:06:07+00,3
2026-04-29 21:06:12+00,4
2026-04-29 21:06:17+00,4
2026-04-29 21:06:22+00,5
2026-04-29 21:06:27+00,5
2026-04-29 21:06:32+00,6
2026-04-29 21:06:37+00,6
2026-04-29 21:06:42+00,7
2026-04-29 21:06:47+00,7
2026-04-29 21:06:52+00,8
2026-04-29 21:06:57+00,6
2026-04-29 21:07:02+00,7
2026-04-29 21:07:07+00,6
2026-04-29 21:07:12+00,7
2026-04-29 21:07:17+00,6
2026-04-29 21:07:22+00,7
2026-04-29 21:07:27+00,6
2026-04-29 21:07:32+00,7
2026-04-29 21:07:37+00,6
2026-04-29 21:07:42+00,7
2026-04-29 21:07:47+00,6
2026-04-29 21:07:52+00,7
2026-04-29 21:07:57+00,6
2026-04-29 21:08:02+00,7
2026-04-29 21:08:07+00,6
2026-04-29 21:08:12+00,7
2026-04-29 21:08:17+00,6
2026-04-29 21:08:22+00,7
2026-04-29 21:08:27+00,6
2026-04-29 21:08:32+00,7
2026-04-29 21:08:37+00,6
2026-04-29 21:08:42+00,7
2026-04-29 21:08:47+00,6
2026-04-29 21:08:52+00,7
2026-04-29 21:08:57+00,6
2026-04-29 21:09:02+00,7
2026-04-29 21:09:07+00,6
2026-04-29 21:09:12+00,7
2026-04-29 21:09:17+00,6
2026-04-29 21:09:22+00,7
2026-04-29 21:09:27+00,6
2026-04-29 21:09:32+00,7
2026-04-29 21:09:37+00,6
2026-04-29 21:09:42+00,7
2026-04-29 21:09:47+00,6
2026-04-29 21:09:52+00,7
2026-04-29 21:09:57+00,6
2026-04-29 21:10:02+00,7
2026-04-29 21:10:07+00,6
2026-04-29 21:10:13+00,7
2026-04-29 21:10:17+00,6
2026-04-29 21:10:22+00,7
2026-04-29 21:10:27+00,6
2026-04-29 21:10:32+00,7
2026-04-29 21:10:37+00,6
2026-04-29 21:10:42+00,7
2026-04-29 21:10:47+00,6
2026-04-29 21:10:52+00,7
2026-04-29 21:10:57+00,6
2026-04-29 21:11:02+00,7
2026-04-29 21:11:07+00,6
2026-04-29 21:11:12+00,7
2026-04-29 21:11:17+00,6
2026-04-29 21:11:22+00,7
2026-04-29 21:11:27+00,6
2026-04-29 21:11:32+00,7
2026-04-29 21:11:37+00,6
2026-04-29 21:11:42+00,7
2026-04-29 21:11:47+00,6
2026-04-29 21:11:52+00,7
2026-04-29 21:11:57+00,6
