timestamp,value
2026-04-29 20:10:03+00,1.774902
2026-04-29 20:10:13+00,1.976074
2026-04-29 20:10:23+00,1.671387
2026-04-29 20:10:33+00,1.493652
2026-04-29 20:10:43+00,1.498047
2026-04-29 20:10:53+00,1.895996
2026-04-29 20:11:03+00,1.604004
2026-04-29 20:11:13+00,1.510254
2026-04-29 20:11:23+00,1.518555
2026-04-29 20:11:33+00,1.364258
2026-04-29 20:11:43+00,1.381836
2026-04-29 20:11:53+00,1.168945
2026-04-29 20:12:03+00,1.30957
2026-04-29 20:12:13+00,1.10791
2026-04-29 20:12:23+00,0.937012
2026-04-29 20:12:33+00,1.395508
2026-04-29 20:12:43+00,1.716309
2026-04-29 20:12:53+00,1.907715
2026-04-29 20:13:03+00,2.236328
2026-04-29 20:13:13+00,2.119629
2026-04-29 20:13:23+00,2.40918
2026-04-29 20:13:33+00,2.660645
2026-04-29 20:13:43+00,2.404785
2026-04-29 20:13:53+00,2.341797
2026-04-29 20:14:03+00,2.214844
2026-04-29 20:14:13+00,2.416016
2026-04-29 20:14:23+00,2.572754
2026-04-29 20:14:33+00,2.63916
2026-04-29 20:14:43+00,2.540527
2026-04-29 20:14:53+00,2.617676
2026-04-29 20:15:03+00,3.00293
2026-04-29 20:15:13+00,3.001953
2026-04-29 20:15:23+00,2.915039
2026-04-29 20:15:33+00,3.242188
2026-04-29 20:15:43+00,3.186035
2026-04-29 20:15:53+00,3.083496
2026-04-29 20:16:03+00,2.682617
2026-04-29 20:16:13+00,2.27002
2026-04-29 20:16:23+00,1.92041
2026-04-29 20:16:33+00,1.625
2026-04-29 20:16:43+00,1.374512
2026-04-29 20:16:53+00,1.162598
2026-04-29 20:17:03+00,0.983398
2026-04-29 20:17:13+00,0.831543
2026-04-29 20:17:23+00,0.703125
2026-04-29 20:17:33+00,0.995117
2026-04-29 20:17:43+00,0.841309
2026-04-29 20:17:53+00,0.711914
2026-04-29 20:18:03+00,0.602051
2026-04-29 20:18:13+00,0.75
2026-04-29 20:18:23+00,0.634277
2026-04-29 20:18:33+00,0.536133
2026-04-29 20:18:43+00,0.687988
2026-04-29 20:18:53+00,0.582031
2026-04-29 20:19:03+00,0.492188
2026-04-29 20:19:13+00,0.416016
2026-04-29 20:19:23+00,0.351562
2026-04-29 20:19:33+00,0.296875
2026-04-29 20:19:43+00,0.250977
2026-04-29 20:19:53+00,0.211914
2026-04-29 20:20:03+00,0.179199
2026-04-29 20:20:13+00,0.151367
2026-04-29 20:20:23+00,0.288574
2026-04-29 20:20:33+00,0.964844
2026-04-29 20:20:43+00,0.815918
2026-04-29 20:20:53+00,0.689941
2026-04-29 20:21:03+00,0.583008
2026-04-29 20:21:13+00,0.788086
2026-04-29 20:21:23+00,0.74707
2026-04-29 20:21:33+00,0.853027
2026-04-29 20:21:43+00,0.795898
2026-04-29 20:21:53+00,0.753418
2026-04-29 20:22:03+00,0.717773
2026-04-29 20:22:13+00,0.606934
2026-04-29 20:22:23+00,0.513184
2026-04-29 20:22:33+00,0.433594
2026-04-29 20:22:44+00,0.366211
2026-04-29 20:22:53+00,0.549805
2026-04-29 20:23:03+00,0.705566
2026-04-29 20:23:13+00,0.59668
2026-04-29 20:23:23+00,0.504395
2026-04-29 20:23:33+00,0.42627
2026-04-29 20:23:43+00,0.360352
2026-04-29 20:23:53+00,0.304199
2026-04-29 20:24:03+00,0.404785
2026-04-29 20:24:14+00,0.570312
2026-04-29 20:24:23+00,0.481934
2026-04-29 20:24:33+00,0.407227
2026-04-29 20:24:43+00,0.344238
