timestamp,value
2026-04-29 20:10:05+00,2.600754
2026-04-29 20:10:15+00,2.528645
2026-04-29 20:10:25+00,2.464997
2026-04-29 20:10:35+00,2.342981
2026-04-29 20:10:45+00,2.330174
2026-04-29 20:10:55+00,2.261456
2026-04-29 20:11:05+00,2.306622
2026-04-29 20:11:15+00,2.209835
2026-04-29 20:11:25+00,2.270916
2026-04-29 20:11:35+00,2.279088
2026-04-29 20:11:45+00,2.248544
2026-04-29 20:11:55+00,2.312023
2026-04-29 20:12:05+00,2.331606
2026-04-29 20:12:15+00,2.4429
2026-04-29 20:12:25+00,2.41632
2026-04-29 20:12:35+00,2.476228
2026-04-29 20:12:45+00,2.589322
2026-04-29 20:12:55+00,2.620886
2026-04-29 20:13:05+00,2.639235
2026-04-29 20:13:15+00,2.630471
2026-04-29 20:13:25+00,2.770619
2026-04-29 20:13:35+00,2.807399
2026-04-29 20:13:45+00,2.787234
2026-04-29 20:13:55+00,2.897933
2026-04-29 20:14:05+00,3.084833
2026-04-29 20:14:15+00,3.162393
2026-04-29 20:14:25+00,3.120992
2026-04-29 20:14:35+00,3.139785
2026-04-29 20:14:45+00,3.194748
2026-04-29 20:14:55+00,3.092334
2026-04-29 20:15:05+00,2.967295
2026-04-29 20:15:15+00,3.008344
2026-04-29 20:15:25+00,3.032301
2026-04-29 20:15:35+00,3.055434
2026-04-29 20:15:45+00,2.972445
2026-04-29 20:15:55+00,2.759499
2026-04-29 20:16:05+00,2.514025
2026-04-29 20:16:15+00,2.315661
2026-04-29 20:16:25+00,2.108613
2026-04-29 20:16:35+00,2.007084
2026-04-29 20:16:45+00,1.844302
2026-04-29 20:16:55+00,1.924198
2026-04-29 20:17:05+00,2.029268
2026-04-29 20:17:15+00,2.158132
2026-04-29 20:17:25+00,2.208637
2026-04-29 20:17:35+00,2.194543
2026-04-29 20:17:45+00,2.303873
2026-04-29 20:17:55+00,2.289924
2026-04-29 20:18:05+00,2.342342
2026-04-29 20:18:15+00,2.283654
2026-04-29 20:18:25+00,2.191235
2026-04-29 20:18:35+00,2.227526
2026-04-29 20:18:45+00,2.23241
2026-04-29 20:18:55+00,2.25324
2026-04-29 20:19:05+00,2.164416
2026-04-29 20:19:15+00,2.08789
2026-04-29 20:19:25+00,2.247191
2026-04-29 20:19:35+00,2.189195
2026-04-29 20:19:45+00,2.225787
2026-04-29 20:19:55+00,2.221777
2026-04-29 20:20:05+00,2.359528
2026-04-29 20:20:15+00,2.4546
2026-04-29 20:20:25+00,2.483608
2026-04-29 20:20:35+00,2.582439
2026-04-29 20:20:45+00,2.537166
2026-04-29 20:20:55+00,2.580389
2026-04-29 20:21:05+00,2.535155
2026-04-29 20:21:15+00,2.575788
2026-04-29 20:21:25+00,2.540187
2026-04-29 20:21:35+00,2.537166
2026-04-29 20:21:45+00,2.545238
2026-04-29 20:21:55+00,2.588095
2026-04-29 20:22:05+00,2.580516
2026-04-29 20:22:15+00,2.47012
2026-04-29 20:22:25+00,2.435644
2026-04-29 20:22:35+00,2.314998
2026-04-29 20:22:45+00,2.318209
2026-04-29 20:22:55+00,2.221341
2026-04-29 20:23:05+00,2.289628
2026-04-29 20:23:15+00,2.361275
2026-04-29 20:23:25+00,2.36267
2026-04-29 20:23:35+00,2.41393
2026-04-29 20:23:45+00,2.436126
2026-04-29 20:23:55+00,2.451562
2026-04-29 20:24:05+00,2.468393
2026-04-29 20:24:15+00,2.40481
