timestamp,value
2026-04-29 20:10:26+00,3.907638
2026-04-29 20:11:26+00,3.507373
2026-04-29 20:12:26+00,3.737394
2026-04-29 20:13:26+00,8.442817
2026-04-29 20:14:27+00,9.020949
2026-04-29 20:15:26+00,9.679543
2026-04-29 20:16:26+00,4.173291
2026-04-29 20:17:26+00,3.116986
2026-04-29 20:18:26+00,3.387129
2026-04-29 20:19:26+00,3.392212
2026-04-29 20:20:26+00,4.947348
2026-04-29 20:21:26+00,5.316405
2026-04-29 20:22:26+00,3.921569
2026-04-29 20:23:26+00,3.820402
2026-04-29 20:24:26+00,3.421369
2026-04-29 20:25:26+00,3.486529
2026-04-29 20:26:26+00,5.102443
2026-04-29 20:40:05+00,0.017702
2026-04-29 20:40:26+00,0.318359
2026-04-29 20:41:26+00,0.693457
2026-04-29 20:42:26+00,0.622112
2026-04-29 20:43:26+00,0.62422
2026-04-29 20:44:26+00,0.819818
2026-04-29 20:45:26+00,0.853637
2026-04-29 20:46:26+00,0.621008
2026-04-29 20:47:26+00,0.75067
2026-04-29 20:48:26+00,0.659067
2026-04-29 20:49:26+00,0.747331
2026-04-29 20:50:26+00,0.839586
2026-04-29 20:51:26+00,0.643662
2026-04-29 20:52:26+00,0.609428
2026-04-29 20:53:26+00,0.623108
2026-04-29 20:54:26+00,0.766352
2026-04-29 21:05:49+00,0.106838
2026-04-29 21:06:26+00,0.713521
2026-04-29 21:07:26+00,0.764037
2026-04-29 21:08:26+00,0.658129
2026-04-29 21:09:26+00,0.692718
2026-04-29 21:10:26+00,0.676397
2026-04-29 21:11:26+00,0.602944
2026-04-29 21:12:26+00,0.616958
2026-04-29 21:13:26+00,0.691612
2026-04-29 21:14:26+00,0.731359
2026-04-29 21:15:26+00,0.66984
2026-04-29 21:16:26+00,0.617611
2026-04-29 21:17:26+00,0.615439
2026-04-29 21:18:26+00,0.601557
2026-04-29 21:19:26+00,0.581908
2026-04-29 21:20:26+00,0.728242
2026-04-29 21:21:26+00,0.589181
2026-04-29 21:22:26+00,0.643892
2026-04-29 21:23:26+00,0.767446
2026-04-29 21:24:26+00,0.686983
2026-04-29 21:25:26+00,0.639886
2026-04-29 21:26:26+00,0.660361
2026-04-29 21:27:26+00,0.641254
2026-04-29 21:28:26+00,0.657544
2026-04-29 21:29:26+00,0.62961
2026-04-29 21:30:27+00,0.592992
2026-04-29 21:31:27+00,0.591716
2026-04-29 21:32:26+00,0.596098
2026-04-29 21:33:26+00,0.615942
2026-04-29 21:34:26+00,0.596098
