timestamp,value
2026-04-29 20:10:03+00,1481
2026-04-29 20:10:08+00,1349
2026-04-29 20:10:13+00,1465
2026-04-29 20:10:18+00,1463
2026-04-29 20:10:23+00,1523
2026-04-29 20:10:28+00,1712
2026-04-29 20:10:33+00,1728
2026-04-29 20:10:38+00,1505
2026-04-29 20:10:43+00,1712
2026-04-29 20:10:48+00,1540
2026-04-29 20:10:53+00,1840
2026-04-29 20:10:58+00,1851
2026-04-29 20:11:03+00,1784
2026-04-29 20:11:08+00,1318
2026-04-29 20:11:13+00,1445
2026-04-29 20:11:18+00,1395
2026-04-29 20:11:23+00,1587
2026-04-29 20:11:28+00,1706
2026-04-29 20:11:33+00,1754
2026-04-29 20:11:38+00,1480
2026-04-29 20:11:43+00,1771
2026-04-29 20:11:48+00,1447
2026-04-29 20:11:53+00,1729
2026-04-29 20:11:58+00,2212
2026-04-29 20:12:03+00,48630
2026-04-29 20:12:08+00,41913
2026-04-29 20:12:13+00,1386
2026-04-29 20:12:18+00,1430
2026-04-29 20:12:23+00,1690
2026-04-29 20:12:28+00,87402
2026-04-29 20:12:33+00,152868
2026-04-29 20:12:38+00,76829
2026-04-29 20:12:43+00,60550
2026-04-29 20:12:48+00,50652
2026-04-29 20:12:53+00,33949
2026-04-29 20:12:58+00,35884
2026-04-29 20:13:03+00,29452
2026-04-29 20:13:08+00,60260
2026-04-29 20:13:13+00,20396
2026-04-29 20:13:18+00,33052
2026-04-29 20:13:23+00,18068
2026-04-29 20:13:28+00,38844
2026-04-29 20:13:33+00,17558
2026-04-29 20:13:38+00,45571
2026-04-29 20:13:43+00,33466
2026-04-29 20:13:48+00,37380
2026-04-29 20:13:53+00,14280
2026-04-29 20:13:58+00,32191
2026-04-29 20:14:03+00,16476
2026-04-29 20:14:08+00,32889
2026-04-29 20:14:13+00,18640
2026-04-29 20:14:18+00,25994
2026-04-29 20:14:23+00,16160
2026-04-29 20:14:28+00,27656
2026-04-29 20:14:33+00,16892
2026-04-29 20:14:38+00,26421
2026-04-29 20:14:43+00,14424
2026-04-29 20:14:48+00,20645
2026-04-29 20:14:53+00,16365
2026-04-29 20:14:58+00,19159
2026-04-29 20:15:03+00,17664
2026-04-29 20:15:08+00,17844
2026-04-29 20:15:13+00,17475
2026-04-29 20:15:18+00,17073
2026-04-29 20:15:23+00,17729
2026-04-29 20:15:28+00,22804
2026-04-29 20:15:33+00,21440
2026-04-29 20:15:38+00,1681
2026-04-29 20:15:43+00,1846
2026-04-29 20:15:48+00,1704
2026-04-29 20:15:53+00,2165
2026-04-29 20:15:58+00,2062
2026-04-29 20:16:03+00,1607
2026-04-29 20:16:08+00,1179
2026-04-29 20:16:13+00,1502
2026-04-29 20:16:18+00,1474
2026-04-29 20:16:23+00,1513
2026-04-29 20:16:28+00,1703
2026-04-29 20:16:33+00,1841
2026-04-29 20:16:38+00,1419
2026-04-29 20:16:43+00,1722
2026-04-29 20:16:48+00,1425
2026-04-29 20:16:53+00,1955
2026-04-29 20:16:58+00,3111
2026-04-29 20:17:03+00,1660
2026-04-29 20:17:08+00,1242
2026-04-29 20:17:13+00,1480
2026-04-29 20:17:18+00,1489
2026-04-29 20:17:23+00,1668
2026-04-29 20:17:28+00,1721
2026-04-29 20:17:33+00,2408
2026-04-29 20:17:38+00,1570
2026-04-29 20:17:43+00,1808
2026-04-29 20:17:48+00,1550
2026-04-29 20:17:53+00,1740
2026-04-29 20:17:58+00,2059
2026-04-29 20:18:03+00,1668
2026-04-29 20:18:08+00,1272
2026-04-29 20:18:13+00,1433
2026-04-29 20:18:18+00,1465
2026-04-29 20:18:23+00,1636
2026-04-29 20:18:28+00,1810
2026-04-29 20:18:33+00,1629
2026-04-29 20:18:38+00,1469
2026-04-29 20:18:43+00,1776
2026-04-29 20:18:48+00,1730
2026-04-29 20:18:53+00,2112
2026-04-29 20:18:58+00,2133
2026-04-29 20:19:03+00,1558
2026-04-29 20:19:08+00,1191
2026-04-29 20:19:13+00,1526
2026-04-29 20:19:18+00,1278
2026-04-29 20:19:23+00,1703
2026-04-29 20:19:28+00,1825
2026-04-29 20:19:33+00,1714
2026-04-29 20:19:38+00,1434
2026-04-29 20:19:43+00,1751
2026-04-29 20:19:48+00,1603
2026-04-29 20:19:53+00,1689
2026-04-29 20:19:58+00,2038
2026-04-29 20:20:03+00,1681
2026-04-29 20:20:08+00,1290
2026-04-29 20:20:13+00,1489
2026-04-29 20:20:18+00,1445
2026-04-29 20:20:23+00,1607
2026-04-29 20:20:28+00,1682
2026-04-29 20:20:33+00,1936
2026-04-29 20:20:38+00,1411
2026-04-29 20:20:43+00,1983
2026-04-29 20:20:48+00,1568
2026-04-29 20:20:53+00,1873
2026-04-29 20:20:58+00,1967
2026-04-29 20:21:03+00,1714
2026-04-29 20:21:08+00,1261
2026-04-29 20:21:13+00,1442
2026-04-29 20:21:18+00,1458
2026-04-29 20:21:23+00,1600
2026-04-29 20:21:28+00,1713
2026-04-29 20:21:33+00,1739
2026-04-29 20:21:38+00,1555
2026-04-29 20:21:43+00,1714
2026-04-29 20:21:48+00,1740
2026-04-29 20:21:53+00,2032
2026-04-29 20:21:58+00,2339
2026-04-29 20:22:03+00,1585
2026-04-29 20:22:08+00,1210
2026-04-29 20:22:13+00,1467
2026-04-29 20:22:18+00,1443
2026-04-29 20:22:23+00,1515
2026-04-29 20:22:28+00,1747
2026-04-29 20:22:33+00,1758
2026-04-29 20:22:38+00,1534
2026-04-29 20:22:44+00,1633
2026-04-29 20:22:48+00,1697
2026-04-29 20:22:53+00,1690
2026-04-29 20:22:58+00,2055
2026-04-29 20:23:03+00,73918
2026-04-29 20:23:08+00,9336
2026-04-29 20:23:13+00,1474
2026-04-29 20:23:18+00,1388
2026-04-29 20:23:23+00,1555
2026-04-29 20:23:28+00,1721
2026-04-29 20:23:33+00,1727
2026-04-29 20:23:38+00,1477
2026-04-29 20:23:43+00,1804
2026-04-29 20:23:48+00,1536
2026-04-29 20:23:53+00,1795
2026-04-29 20:23:58+00,2046
2026-04-29 20:24:03+00,1635
2026-04-29 20:24:08+00,1316
2026-04-29 20:24:14+00,1370
2026-04-29 20:24:18+00,1367
2026-04-29 20:24:23+00,1755
2026-04-29 20:24:28+00,1749
2026-04-29 20:24:33+00,1487
2026-04-29 20:24:38+00,1780
2026-04-29 20:24:43+00,1648
2026-04-29 20:24:48+00,1756
2026-04-29 20:24:53+00,2157
2026-04-29 20:24:58+00,1940
2026-04-29 20:25:03+00,1681
2026-04-29 20:25:08+00,1256
2026-04-29 20:25:13+00,1477
2026-04-29 20:25:18+00,1406
2026-04-29 20:25:23+00,1573
2026-04-29 20:25:28+00,1726
2026-04-29 20:25:33+00,1744
2026-04-29 20:25:38+00,1493
2026-04-29 20:25:43+00,1740
2026-04-29 20:25:48+00,1558
2026-04-29 20:25:53+00,1738
2026-04-29 20:25:58+00,2170
2026-04-29 20:26:03+00,1584
2026-04-29 20:26:08+00,1350
2026-04-29 20:26:13+00,1414
2026-04-29 20:26:18+00,1328
2026-04-29 20:26:23+00,1503
2026-04-29 20:26:28+00,1984
2026-04-29 20:26:33+00,1764
2026-04-29 20:40:08+00,4113
2026-04-29 20:40:13+00,1418
2026-04-29 20:40:18+00,1323
2026-04-29 20:40:23+00,1481
2026-04-29 20:40:28+00,1683
2026-04-29 20:40:33+00,1632
2026-04-29 20:40:38+00,1503
2026-04-29 20:40:43+00,1650
2026-04-29 20:40:48+00,1470
2026-04-29 20:40:53+00,1666
2026-04-29 20:40:58+00,1861
2026-04-29 20:41:03+00,1472
2026-04-29 20:41:08+00,1261
2026-04-29 20:41:13+00,1336
2026-04-29 20:41:18+00,1387
2026-04-29 20:41:23+00,1577
2026-04-29 20:41:28+00,1596
2026-04-29 20:41:33+00,1701
2026-04-29 20:41:38+00,1321
2026-04-29 20:41:43+00,1651
2026-04-29 20:41:48+00,1422
2026-04-29 20:41:53+00,1676
2026-04-29 20:41:58+00,1912
2026-04-29 20:42:03+00,1447
2026-04-29 20:42:08+00,1146
2026-04-29 20:42:13+00,1335
2026-04-29 20:42:18+00,1373
2026-04-29 20:42:23+00,1502
2026-04-29 20:42:28+00,1548
2026-04-29 20:42:33+00,1590
2026-04-29 20:42:38+00,1497
2026-04-29 20:42:43+00,1591
2026-04-29 20:42:48+00,1602
2026-04-29 20:42:53+00,2070
2026-04-29 20:42:58+00,1820
2026-04-29 20:43:03+00,1513
2026-04-29 20:43:08+00,1160
2026-04-29 20:43:13+00,1363
2026-04-29 20:43:18+00,1324
2026-04-29 20:43:23+00,1476
2026-04-29 20:43:28+00,1651
2026-04-29 20:43:33+00,1538
2026-04-29 20:43:38+00,1436
2026-04-29 20:43:43+00,1649
2026-04-29 20:43:48+00,1366
2026-04-29 20:43:53+00,1767
2026-04-29 20:43:58+00,1825
2026-04-29 20:44:03+00,1507
2026-04-29 20:44:08+00,1173
2026-04-29 20:44:13+00,1390
2026-04-29 20:44:18+00,1244
2026-04-29 20:44:23+00,1475
2026-04-29 20:44:28+00,1635
2026-04-29 20:44:33+00,1389
2026-04-29 20:44:38+00,1440
2026-04-29 20:44:43+00,1555
2026-04-29 20:44:48+00,1475
2026-04-29 20:44:53+00,1724
2026-04-29 20:44:58+00,1926
2026-04-29 20:45:03+00,1477
2026-04-29 20:45:08+00,1321
2026-04-29 20:45:13+00,1309
2026-04-29 20:45:18+00,1357
2026-04-29 20:45:23+00,1474
2026-04-29 20:45:28+00,1633
2026-04-29 20:45:33+00,1683
2026-04-29 20:45:38+00,1346
2026-04-29 20:45:43+00,1516
2026-04-29 20:45:48+00,1581
2026-04-29 20:45:53+00,2040
2026-04-29 20:45:58+00,2025
2026-04-29 20:46:03+00,1444
2026-04-29 20:46:08+00,1199
2026-04-29 20:46:13+00,1338
2026-04-29 20:46:18+00,1368
2026-04-29 20:46:23+00,1434
2026-04-29 20:46:28+00,1679
2026-04-29 20:46:33+00,1667
2026-04-29 20:46:38+00,1305
2026-04-29 20:46:43+00,1585
2026-04-29 20:46:48+00,1538
2026-04-29 20:46:53+00,1655
2026-04-29 20:46:58+00,1987
2026-04-29 20:47:03+00,1541
2026-04-29 20:47:08+00,1184
2026-04-29 20:47:13+00,1365
2026-04-29 20:47:18+00,1333
2026-04-29 20:47:23+00,1447
2026-04-29 20:47:28+00,1595
2026-04-29 20:47:33+00,1576
2026-04-29 20:47:38+00,1440
2026-04-29 20:47:43+00,1560
2026-04-29 20:47:48+00,1502
2026-04-29 20:47:53+00,1582
2026-04-29 20:47:58+00,1844
2026-04-29 20:48:03+00,1663
2026-04-29 20:48:08+00,1155
2026-04-29 20:48:13+00,1421
2026-04-29 20:48:18+00,1295
2026-04-29 20:48:23+00,1411
2026-04-29 20:48:28+00,1635
2026-04-29 20:48:33+00,1624
2026-04-29 20:48:38+00,1324
2026-04-29 20:48:43+00,1642
2026-04-29 20:48:48+00,1541
2026-04-29 20:48:53+00,1943
2026-04-29 20:48:58+00,1936
2026-04-29 20:49:03+00,1487
2026-04-29 20:49:08+00,1200
2026-04-29 20:49:13+00,1237
2026-04-29 20:49:18+00,1468
2026-04-29 20:49:23+00,1422
2026-04-29 20:49:28+00,1613
2026-04-29 20:49:33+00,1659
2026-04-29 20:49:38+00,1321
2026-04-29 20:49:43+00,1602
2026-04-29 20:49:48+00,1394
2026-04-29 20:49:53+00,1503
2026-04-29 20:49:58+00,1938
2026-04-29 20:50:03+00,1482
2026-04-29 20:50:08+00,1162
2026-04-29 20:50:13+00,1321
2026-04-29 20:50:18+00,1319
2026-04-29 20:50:23+00,1457
2026-04-29 20:50:28+00,1626
2026-04-29 20:50:33+00,1563
2026-04-29 20:50:38+00,1497
2026-04-29 20:50:43+00,1614
2026-04-29 20:50:48+00,1533
2026-04-29 20:50:53+00,1691
2026-04-29 20:50:58+00,1716
2026-04-29 20:51:03+00,1529
2026-04-29 20:51:08+00,1120
2026-04-29 20:51:13+00,1375
2026-04-29 20:51:18+00,1411
2026-04-29 20:51:23+00,1385
2026-04-29 20:51:28+00,1695
2026-04-29 20:51:33+00,1700
2026-04-29 20:51:38+00,1349
2026-04-29 20:51:43+00,1665
2026-04-29 20:51:48+00,1537
2026-04-29 20:51:53+00,2039
2026-04-29 20:51:58+00,1972
2026-04-29 20:52:03+00,1526
2026-04-29 20:52:08+00,1141
2026-04-29 20:52:13+00,1307
2026-04-29 20:52:18+00,1323
2026-04-29 20:52:23+00,1567
2026-04-29 20:52:28+00,1609
2026-04-29 20:52:33+00,1582
2026-04-29 20:52:38+00,1323
2026-04-29 20:52:43+00,1663
2026-04-29 20:52:48+00,1376
2026-04-29 20:52:53+00,1723
2026-04-29 20:52:58+00,1691
2026-04-29 20:53:03+00,1677
2026-04-29 20:53:08+00,1243
2026-04-29 20:53:13+00,1313
2026-04-29 20:53:18+00,1368
2026-04-29 20:53:23+00,1410
2026-04-29 20:53:28+00,1708
2026-04-29 20:53:33+00,1618
2026-04-29 20:53:38+00,1374
2026-04-29 20:53:43+00,1583
2026-04-29 20:53:48+00,1443
2026-04-29 20:53:53+00,1474
2026-04-29 20:53:58+00,2027
2026-04-29 20:54:03+00,1483
2026-04-29 20:54:08+00,1089
2026-04-29 20:54:13+00,1268
2026-04-29 20:54:18+00,1399
2026-04-29 20:54:23+00,1485
2026-04-29 20:54:28+00,1632
2026-04-29 21:05:53+00,3114
2026-04-29 21:05:58+00,1877
2026-04-29 21:06:03+00,1429
2026-04-29 21:06:08+00,1253
2026-04-29 21:06:13+00,1275
2026-04-29 21:06:18+00,1350
2026-04-29 21:06:23+00,1404
2026-04-29 21:06:28+00,1649
2026-04-29 21:06:33+00,1636
2026-04-29 21:06:38+00,1354
2026-04-29 21:06:43+00,1666
2026-04-29 21:06:48+00,1568
2026-04-29 21:06:53+00,1952
2026-04-29 21:06:58+00,2094
2026-04-29 21:07:03+00,1505
2026-04-29 21:07:08+00,1142
2026-04-29 21:07:13+00,1260
2026-04-29 21:07:18+00,1467
2026-04-29 21:07:23+00,1434
2026-04-29 21:07:28+00,1640
2026-04-29 21:07:33+00,1509
2026-04-29 21:07:38+00,1396
2026-04-29 21:07:43+00,1582
2026-04-29 21:07:48+00,1506
2026-04-29 21:07:53+00,1555
2026-04-29 21:07:58+00,1881
2026-04-29 21:08:03+00,1633
2026-04-29 21:08:08+00,1145
2026-04-29 21:08:13+00,1322
2026-04-29 21:08:18+00,1358
2026-04-29 21:08:23+00,1556
2026-04-29 21:08:28+00,1660
2026-04-29 21:08:33+00,1664
2026-04-29 21:08:38+00,1335
2026-04-29 21:08:43+00,1583
2026-04-29 21:08:48+00,1344
2026-04-29 21:08:53+00,1714
2026-04-29 21:08:58+00,1803
2026-04-29 21:09:03+00,1584
2026-04-29 21:09:08+00,1199
2026-04-29 21:09:13+00,1391
2026-04-29 21:09:18+00,1306
2026-04-29 21:09:23+00,1508
2026-04-29 21:09:28+00,1624
2026-04-29 21:09:33+00,1586
2026-04-29 21:09:38+00,1411
2026-04-29 21:09:43+00,1588
2026-04-29 21:09:48+00,1591
2026-04-29 21:09:53+00,1884
2026-04-29 21:09:58+00,2025
2026-04-29 21:10:03+00,1433
2026-04-29 21:10:08+00,1161
2026-04-29 21:10:13+00,1376
2026-04-29 21:10:18+00,1314
2026-04-29 21:10:23+00,1544
