timestamp,value
2026-04-29 20:10:03+00,18
2026-04-29 20:10:08+00,16
2026-04-29 20:10:13+00,17
2026-04-29 20:10:18+00,16
2026-04-29 20:10:23+00,18
2026-04-29 20:10:28+00,20
2026-04-29 20:10:33+00,22
2026-04-29 20:10:38+00,17
2026-04-29 20:10:43+00,19
2026-04-29 20:10:48+00,19
2026-04-29 20:10:53+00,21
2026-04-29 20:10:58+00,23
2026-04-29 20:11:03+00,21
2026-04-29 20:11:08+00,15
2026-04-29 20:11:13+00,17
2026-04-29 20:11:18+00,16
2026-04-29 20:11:23+00,19
2026-04-29 20:11:28+00,21
2026-04-29 20:11:33+00,20
2026-04-29 20:11:38+00,18
2026-04-29 20:11:43+00,21
2026-04-29 20:11:48+00,18
2026-04-29 20:11:53+00,19
2026-04-29 20:11:58+00,25
2026-04-29 20:12:03+00,346
2026-04-29 20:12:08+00,299
2026-04-29 20:12:13+00,17
2026-04-29 20:12:18+00,15
2026-04-29 20:12:23+00,20
2026-04-29 20:12:28+00,768
2026-04-29 20:12:33+00,1203
2026-04-29 20:12:38+00,626
2026-04-29 20:12:43+00,455
2026-04-29 20:12:48+00,498
2026-04-29 20:12:53+00,347
2026-04-29 20:12:58+00,421
2026-04-29 20:13:03+00,339
2026-04-29 20:13:08+00,712
2026-04-29 20:13:13+00,264
2026-04-29 20:13:18+00,381
2026-04-29 20:13:23+00,247
2026-04-29 20:13:28+00,463
2026-04-29 20:13:33+00,225
2026-04-29 20:13:38+00,539
2026-04-29 20:13:43+00,362
2026-04-29 20:13:48+00,431
2026-04-29 20:13:53+00,180
2026-04-29 20:13:58+00,378
2026-04-29 20:14:03+00,206
2026-04-29 20:14:08+00,410
2026-04-29 20:14:13+00,230
2026-04-29 20:14:18+00,305
2026-04-29 20:14:23+00,215
2026-04-29 20:14:28+00,353
2026-04-29 20:14:33+00,230
2026-04-29 20:14:38+00,353
2026-04-29 20:14:43+00,206
2026-04-29 20:14:48+00,287
2026-04-29 20:14:53+00,232
2026-04-29 20:14:58+00,263
2026-04-29 20:15:03+00,250
2026-04-29 20:15:08+00,253
2026-04-29 20:15:13+00,244
2026-04-29 20:15:18+00,237
