timestamp,value
2026-04-29 20:10:09+00,1469329408
2026-04-29 20:10:39+00,1469095936
2026-04-29 20:11:09+00,1469104128
2026-04-29 20:11:39+00,1469108224
2026-04-29 20:12:09+00,1468375040
2026-04-29 20:12:39+00,1504772096
2026-04-29 20:13:09+00,1499774976
2026-04-29 20:13:39+00,1500323840
2026-04-29 20:14:09+00,1495470080
2026-04-29 20:14:39+00,1478819840
2026-04-29 20:15:09+00,1478754304
2026-04-29 20:15:39+00,1474981888
2026-04-29 20:16:09+00,1474736128
2026-04-29 20:16:39+00,1472917504
2026-04-29 20:17:09+00,1482199040
2026-04-29 20:17:39+00,1497399296
2026-04-29 20:18:09+00,1497407488
2026-04-29 20:18:39+00,1497407488
2026-04-29 20:19:09+00,1497415680
2026-04-29 20:19:39+00,1497415680
2026-04-29 20:20:09+00,1497423872
2026-04-29 20:20:39+00,1497186304
2026-04-29 20:21:09+00,1497194496
2026-04-29 20:21:39+00,1496965120
2026-04-29 20:22:09+00,1496981504
2026-04-29 20:22:39+00,1496981504
2026-04-29 20:23:09+00,1494618112
2026-04-29 20:23:39+00,1492811776
2026-04-29 20:24:09+00,1492819968
2026-04-29 20:24:39+00,1492819968
2026-04-29 20:25:09+00,1492836352
2026-04-29 20:25:39+00,1492844544
2026-04-29 20:26:09+00,1492852736
2026-04-29 20:40:01+00,1493221376
2026-04-29 20:40:09+00,1492455424
2026-04-29 20:40:39+00,1492221952
2026-04-29 20:41:09+00,1492230144
2026-04-29 20:41:39+00,1492234240
2026-04-29 20:42:09+00,1492242432
2026-04-29 20:42:39+00,1492242432
2026-04-29 20:43:09+00,1492250624
2026-04-29 20:43:39+00,1492250624
2026-04-29 20:44:09+00,1499783168
2026-04-29 20:44:39+00,1492041728
2026-04-29 20:45:09+00,1499574272
2026-04-29 20:45:39+00,1492107264
2026-04-29 20:46:09+00,1492115456
2026-04-29 20:46:39+00,1492115456
2026-04-29 20:47:09+00,1499131904
2026-04-29 20:47:39+00,1493712896
2026-04-29 20:48:09+00,1493721088
2026-04-29 20:48:39+00,1493721088
2026-04-29 20:49:09+00,1493729280
2026-04-29 20:49:39+00,1493729280
2026-04-29 20:50:09+00,1493737472
2026-04-29 20:50:39+00,1493757952
2026-04-29 20:51:09+00,1493774336
2026-04-29 20:51:39+00,1493774336
2026-04-29 20:52:09+00,1493782528
2026-04-29 20:52:39+00,1493782528
2026-04-29 20:53:09+00,1493790720
2026-04-29 20:53:39+00,1493790720
2026-04-29 20:54:09+00,1493798912
2026-04-29 21:05:49+00,1457573888
2026-04-29 21:06:09+00,1454002176
2026-04-29 21:06:39+00,1453494272
2026-04-29 21:07:09+00,1453494272
2026-04-29 21:07:39+00,1453506560
2026-04-29 21:08:09+00,1461035008
2026-04-29 21:08:39+00,1460785152
2026-04-29 21:09:09+00,1460785152
2026-04-29 21:09:39+00,1460793344
2026-04-29 21:10:09+00,1460793344
2026-04-29 21:10:39+00,1460826112
2026-04-29 21:11:09+00,1467842560
2026-04-29 21:11:39+00,1467850752
2026-04-29 21:12:09+00,1467850752
2026-04-29 21:12:39+00,1467858944
2026-04-29 21:13:09+00,1467858944
2026-04-29 21:13:40+00,1467867136
2026-04-29 21:14:09+00,1467867136
2026-04-29 21:14:39+00,1467875328
2026-04-29 21:15:09+00,1467875328
2026-04-29 21:15:39+00,1467891712
2026-04-29 21:16:09+00,1467891712
2026-04-29 21:16:39+00,1467899904
2026-04-29 21:17:09+00,1467899904
2026-04-29 21:17:39+00,1465307136
2026-04-29 21:18:09+00,1472315392
2026-04-29 21:18:39+00,1472323584
2026-04-29 21:19:09+00,1472323584
2026-04-29 21:19:39+00,1472331776
2026-04-29 21:20:09+00,1471561728
2026-04-29 21:20:39+00,1471324160
2026-04-29 21:21:09+00,1471324160
2026-04-29 21:21:39+00,1471332352
2026-04-29 21:22:09+00,1471332352
2026-04-29 21:22:39+00,1471348736
2026-04-29 21:23:09+00,1471348736
2026-04-29 21:23:39+00,1471356928
2026-04-29 21:24:09+00,1471352832
2026-04-29 21:24:39+00,1471361024
2026-04-29 21:25:09+00,1478111232
2026-04-29 21:25:39+00,1478135808
2026-04-29 21:26:09+00,1478144000
2026-04-29 21:26:39+00,1478152192
2026-04-29 21:27:09+00,1478152192
2026-04-29 21:27:39+00,1478156288
2026-04-29 21:28:09+00,1478156288
2026-04-29 21:28:39+00,1478164480
2026-04-29 21:29:09+00,1478164480
2026-04-29 21:29:39+00,1478172672
2026-04-29 21:30:09+00,1478172672
2026-04-29 21:30:39+00,1478205440
2026-04-29 21:31:09+00,1478213632
2026-04-29 21:31:39+00,1478221824
2026-04-29 21:32:09+00,1478221824
2026-04-29 21:32:39+00,1478230016
2026-04-29 21:33:09+00,1478230016
2026-04-29 21:33:39+00,1478238208
2026-04-29 21:34:10+00,1478238208
