timestamp,value
2026-04-29 20:10:04+00,4395
2026-04-29 20:10:09+00,1017
2026-04-29 20:10:14+00,3101
2026-04-29 20:10:19+00,1039
2026-04-29 20:10:24+00,3387
2026-04-29 20:10:29+00,1392
2026-04-29 20:10:34+00,3222
2026-04-29 20:10:39+00,1100
2026-04-29 20:10:44+00,3394
2026-04-29 20:10:49+00,1096
2026-04-29 20:10:54+00,3386
2026-04-29 20:10:59+00,1499
2026-04-29 20:11:04+00,4443
2026-04-29 20:11:09+00,989
2026-04-29 20:11:14+00,3089
2026-04-29 20:11:19+00,1233
2026-04-29 20:11:24+00,3172
2026-04-29 20:11:29+00,1359
2026-04-29 20:11:34+00,3229
2026-04-29 20:11:39+00,1087
2026-04-29 20:11:44+00,3446
2026-04-29 20:11:49+00,1147
2026-04-29 20:11:54+00,3316
2026-04-29 20:11:59+00,1676
2026-04-29 20:12:04+00,47811
2026-04-29 20:12:09+00,14904
2026-04-29 20:12:14+00,3141
2026-04-29 20:12:19+00,1054
2026-04-29 20:12:24+00,18280
2026-04-29 20:12:29+00,314980
2026-04-29 20:12:34+00,572592
2026-04-29 20:12:39+00,1100709
2026-04-29 20:12:44+00,1352997
2026-04-29 20:12:49+00,1592569
2026-04-29 20:12:54+00,1384716
2026-04-29 20:12:59+00,1628113
2026-04-29 20:13:04+00,1742318
2026-04-29 20:13:09+00,1000946
2026-04-29 20:13:14+00,1267363
2026-04-29 20:13:19+00,1213243
2026-04-29 20:13:24+00,1515472
2026-04-29 20:13:29+00,1407433
2026-04-29 20:13:34+00,862153
2026-04-29 20:13:39+00,304971
2026-04-29 20:13:44+00,518147
2026-04-29 20:13:49+00,623648
2026-04-29 20:13:54+00,546165
2026-04-29 20:13:59+00,701473
2026-04-29 20:14:04+00,561169
2026-04-29 20:14:09+00,274363
2026-04-29 20:14:14+00,537442
2026-04-29 20:14:19+00,615435
2026-04-29 20:14:24+00,1138469
2026-04-29 20:14:29+00,1465278
2026-04-29 20:14:34+00,1147989
2026-04-29 20:14:39+00,819158
2026-04-29 20:14:44+00,1013960
2026-04-29 20:14:49+00,1292017
2026-04-29 20:14:54+00,921292
2026-04-29 20:14:59+00,1186667
2026-04-29 20:15:04+00,1070975
2026-04-29 20:15:09+00,1221413
2026-04-29 20:15:14+00,1154453
2026-04-29 20:15:19+00,1066872
2026-04-29 20:15:24+00,1421884
2026-04-29 20:15:29+00,1541389
2026-04-29 20:15:34+00,1146143
2026-04-29 20:15:39+00,486728
2026-04-29 20:15:44+00,43951
2026-04-29 20:15:49+00,23171
2026-04-29 20:15:54+00,15283
2026-04-29 20:15:59+00,1654
2026-04-29 20:16:04+00,29223
2026-04-29 20:16:09+00,5954
2026-04-29 20:16:14+00,3058
2026-04-29 20:16:19+00,1102
2026-04-29 20:16:24+00,3174
2026-04-29 20:16:29+00,17725
2026-04-29 20:16:34+00,3395
2026-04-29 20:16:39+00,1177
2026-04-29 20:16:44+00,3399
2026-04-29 20:16:49+00,1129
2026-04-29 20:16:54+00,3291
2026-04-29 20:16:59+00,10916
2026-04-29 20:17:04+00,4420
2026-04-29 20:17:09+00,1018
2026-04-29 20:17:14+00,3071
2026-04-29 20:17:19+00,2365
2026-04-29 20:17:25+00,3104
2026-04-29 20:17:29+00,1711
2026-04-29 20:17:34+00,3648
2026-04-29 20:17:39+00,1302
2026-04-29 20:17:44+00,3461
2026-04-29 20:17:49+00,1097
2026-04-29 20:17:54+00,3291
2026-04-29 20:17:59+00,1534
2026-04-29 20:18:04+00,4503
2026-04-29 20:18:09+00,1017
2026-04-29 20:18:14+00,3109
2026-04-29 20:18:19+00,1088
2026-04-29 20:18:24+00,3212
2026-04-29 20:18:29+00,1330
2026-04-29 20:18:34+00,3322
2026-04-29 20:18:39+00,1155
2026-04-29 20:18:44+00,3341
2026-04-29 20:18:49+00,1362
2026-04-29 20:18:54+00,3523
2026-04-29 20:18:59+00,1623
2026-04-29 20:19:04+00,4524
2026-04-29 20:19:09+00,1029
2026-04-29 20:19:14+00,3154
2026-04-29 20:19:19+00,1044
2026-04-29 20:19:24+00,3202
2026-04-29 20:19:29+00,1392
2026-04-29 20:19:34+00,3210
2026-04-29 20:19:39+00,1135
2026-04-29 20:19:44+00,3411
2026-04-29 20:19:49+00,1134
2026-04-29 20:19:54+00,3273
2026-04-29 20:19:59+00,1562
