timestamp,value
2026-04-29 20:10:02+00,0.025426
2026-04-29 20:10:11+00,0.021391
2026-04-29 20:10:21+00,0.00427
2026-04-29 20:10:31+00,0.023528
2026-04-29 20:10:41+00,0.029375
2026-04-29 20:10:51+00,0.289917
2026-04-29 20:11:02+00,0.163257
2026-04-29 20:11:11+00,0.007145
2026-04-29 20:11:21+00,0.015635
2026-04-29 20:11:31+00,0.060702
2026-04-29 20:11:41+00,0.012106
2026-04-29 20:11:51+00,0.021427
2026-04-29 20:12:01+00,0.129889
2026-04-29 20:12:11+00,0.046326
2026-04-29 20:12:21+00,0.009833
2026-04-29 20:15:39+00,2.228507
2026-04-29 20:15:41+00,0.006295
2026-04-29 20:15:51+00,0.02998
2026-04-29 20:16:01+00,0.009314
2026-04-29 20:16:11+00,0.005724
2026-04-29 20:16:21+00,0.016435
2026-04-29 20:16:31+00,0.014649
2026-04-29 20:16:41+00,0.092544
2026-04-29 20:16:51+00,0.045206
2026-04-29 20:17:01+00,0.056821
2026-04-29 20:17:12+00,0.028483
2026-04-29 20:17:21+00,0.007316
2026-04-29 20:17:31+00,0.091151
2026-04-29 20:17:41+00,0.004252
2026-04-29 20:17:53+00,0.033181
2026-04-29 20:18:01+00,0.064014
2026-04-29 20:18:11+00,0.021315
2026-04-29 20:18:22+00,0.019477
2026-04-29 20:18:31+00,0.022825
2026-04-29 20:18:41+00,0.009381
2026-04-29 20:18:51+00,0.028451
2026-04-29 20:19:02+00,0.035594
2026-04-29 20:19:11+00,0.028732
2026-04-29 20:19:22+00,0.134964
2026-04-29 20:19:31+00,0.015952
2026-04-29 20:19:41+00,0.020986
2026-04-29 20:19:51+00,0.065073
2026-04-29 20:20:01+00,0.02809
2026-04-29 20:20:11+00,0.017004
2026-04-29 20:20:21+00,0.048528
2026-04-29 20:20:31+00,0.372451
2026-04-29 20:20:41+00,0.020741
2026-04-29 20:20:51+00,0.012847
2026-04-29 20:21:02+00,0.103009
2026-04-29 20:21:11+00,0.072993
2026-04-29 20:21:21+00,0.031142
2026-04-29 20:21:31+00,0.017183
2026-04-29 20:21:41+00,0.005463
2026-04-29 20:21:51+00,0.038769
2026-04-29 20:22:01+00,0.019968
2026-04-29 20:22:11+00,0.187541
2026-04-29 20:22:21+00,0.014568
2026-04-29 20:22:31+00,0.004973
2026-04-29 20:22:41+00,0.050743
2026-04-29 20:22:52+00,0.022839
2026-04-29 20:23:01+00,0.095082
2026-04-29 20:23:11+00,0.012266
2026-04-29 20:23:21+00,0.040772
2026-04-29 20:23:31+00,0.030021
2026-04-29 20:23:41+00,0.043049
2026-04-29 20:23:51+00,0.012037
2026-04-29 20:24:01+00,0.048629
2026-04-29 20:24:11+00,0.008385
2026-04-29 20:24:21+00,0.025053
2026-04-29 20:24:31+00,0.046828
2026-04-29 20:24:42+00,0.022786
2026-04-29 20:24:51+00,0.035187
2026-04-29 20:25:01+00,0.100829
2026-04-29 20:25:11+00,0.006969
2026-04-29 20:25:21+00,0.027305
2026-04-29 20:25:31+00,0.025648
2026-04-29 20:25:41+00,0.037127
2026-04-29 20:25:51+00,0.043489
2026-04-29 20:26:01+00,0.022232
2026-04-29 20:26:11+00,0.025743
2026-04-29 20:26:21+00,0.010594
2026-04-29 20:26:32+00,0.044764
2026-04-29 20:39:41+00,0.00801
2026-04-29 20:39:51+00,0.004998
2026-04-29 20:40:01+00,0.004693
2026-04-29 20:40:11+00,0.005245
2026-04-29 20:40:21+00,0.004945
2026-04-29 20:40:31+00,0.101335
2026-04-29 20:40:41+00,0.005244
2026-04-29 20:40:51+00,0.006572
2026-04-29 20:41:01+00,0.010021
2026-04-29 20:41:11+00,0.012053
2026-04-29 20:41:21+00,0.011801
2026-04-29 20:41:31+00,0.011457
2026-04-29 20:41:41+00,0.006377
2026-04-29 20:41:52+00,0.079168
2026-04-29 20:42:01+00,0.004512
2026-04-29 20:42:11+00,0.00745
2026-04-29 20:42:21+00,0.007013
2026-04-29 20:42:31+00,0.011933
2026-04-29 20:42:41+00,0.006885
2026-04-29 20:42:51+00,0.008038
2026-04-29 20:43:01+00,0.013493
2026-04-29 20:43:11+00,0.011798
2026-04-29 20:43:21+00,0.005176
2026-04-29 20:43:31+00,0.008176
2026-04-29 20:43:41+00,0.00972
2026-04-29 20:43:51+00,0.010324
2026-04-29 20:44:01+00,0.008802
2026-04-29 20:44:11+00,0.003487
2026-04-29 20:44:21+00,0.004025
2026-04-29 20:44:31+00,0.035267
2026-04-29 20:44:41+00,0.049947
2026-04-29 20:44:51+00,0.017904
2026-04-29 20:45:01+00,0.069345
2026-04-29 20:45:11+00,0.018232
2026-04-29 20:45:21+00,0.00779
2026-04-29 20:45:31+00,0.014546
2026-04-29 20:45:42+00,0.014291
2026-04-29 20:45:51+00,0.058963
2026-04-29 20:46:01+00,0.013785
2026-04-29 20:46:11+00,0.007548
2026-04-29 20:46:21+00,0.005574
2026-04-29 20:46:31+00,0.007669
2026-04-29 20:46:41+00,0.010497
2026-04-29 20:46:51+00,0.010321
2026-04-29 20:47:01+00,0.033531
2026-04-29 20:47:11+00,0.005058
2026-04-29 20:47:21+00,0.009881
2026-04-29 20:47:31+00,0.006828
2026-04-29 20:47:41+00,0.00604
2026-04-29 20:47:51+00,0.011895
2026-04-29 20:48:01+00,0.004279
2026-04-29 20:48:11+00,0.006207
2026-04-29 20:48:21+00,0.004427
2026-04-29 20:48:31+00,0.012637
2026-04-29 20:48:41+00,0.007582
2026-04-29 20:48:51+00,0.005677
2026-04-29 20:49:01+00,0.010138
2026-04-29 20:49:11+00,0.014679
2026-04-29 20:49:21+00,0.008031
2026-04-29 20:49:31+00,0.012459
2026-04-29 20:49:41+00,0.007252
2026-04-29 20:49:51+00,0.016862
2026-04-29 20:50:01+00,0.004185
2026-04-29 20:50:11+00,0.008026
2026-04-29 20:50:21+00,0.010834
2026-04-29 20:50:31+00,0.012033
2026-04-29 20:50:41+00,0.00611
2026-04-29 20:50:51+00,0.025722
2026-04-29 20:51:01+00,0.007277
2026-04-29 20:51:11+00,0.005489
2026-04-29 20:51:21+00,0.003832
2026-04-29 20:51:31+00,0.021032
2026-04-29 20:51:41+00,0.004233
2026-04-29 20:51:51+00,0.014493
2026-04-29 20:52:01+00,0.01403
2026-04-29 20:52:11+00,0.004387
2026-04-29 20:52:21+00,0.006357
2026-04-29 20:52:31+00,0.006112
2026-04-29 20:52:41+00,0.010426
2026-04-29 20:52:51+00,0.005251
2026-04-29 20:53:01+00,0.007734
2026-04-29 20:53:11+00,0.013815
2026-04-29 20:53:21+00,0.012488
2026-04-29 20:53:31+00,0.00537
2026-04-29 20:53:41+00,0.008213
2026-04-29 20:53:51+00,0.005431
2026-04-29 20:54:01+00,0.024137
2026-04-29 20:54:11+00,0.007008
2026-04-29 20:54:22+00,0.004556
2026-04-29 21:05:31+00,0.009211
2026-04-29 21:05:41+00,0.006744
2026-04-29 21:05:51+00,0.007211
2026-04-29 21:06:01+00,0.006212
2026-04-29 21:06:12+00,0.004553
2026-04-29 21:06:21+00,0.02108
2026-04-29 21:06:31+00,0.004223
2026-04-29 21:06:41+00,0.005655
2026-04-29 21:06:51+00,0.022442
2026-04-29 21:07:01+00,0.02337
2026-04-29 21:07:11+00,0.008814
