timestamp,value
2026-04-29 20:10:02+00,1
2026-04-29 20:10:12+00,1
2026-04-29 20:10:22+00,1
2026-04-29 20:10:32+00,1
2026-04-29 20:10:42+00,1
2026-04-29 20:10:52+00,1
2026-04-29 20:11:02+00,1
2026-04-29 20:11:12+00,1
2026-04-29 20:11:22+00,1
2026-04-29 20:11:32+00,1
2026-04-29 20:11:42+00,1
2026-04-29 20:11:52+00,1
2026-04-29 20:12:02+00,1
2026-04-29 20:12:12+00,1
2026-04-29 20:12:22+00,1
2026-04-29 20:12:32+00,1
2026-04-29 20:12:42+00,1
2026-04-29 20:12:52+00,1
2026-04-29 20:13:02+00,1
2026-04-29 20:13:12+00,1
2026-04-29 20:13:22+00,1
2026-04-29 20:13:32+00,1
2026-04-29 20:13:42+00,1
2026-04-29 20:13:52+00,1
2026-04-29 20:14:02+00,1
2026-04-29 20:14:12+00,1
2026-04-29 20:14:22+00,1
2026-04-29 20:14:32+00,1
2026-04-29 20:14:42+00,1
2026-04-29 20:14:52+00,1
2026-04-29 20:15:02+00,1
2026-04-29 20:15:12+00,1
2026-04-29 20:15:22+00,1
2026-04-29 20:15:32+00,1
2026-04-29 20:15:42+00,1
2026-04-29 20:15:52+00,1
2026-04-29 20:16:02+00,1
2026-04-29 20:16:12+00,1
2026-04-29 20:16:22+00,1
2026-04-29 20:16:32+00,1
2026-04-29 20:16:42+00,1
2026-04-29 20:16:52+00,1
2026-04-29 20:17:02+00,1
2026-04-29 20:17:12+00,1
2026-04-29 20:17:22+00,1
2026-04-29 20:17:32+00,1
2026-04-29 20:17:42+00,1
2026-04-29 20:17:52+00,1
2026-04-29 20:18:02+00,1
2026-04-29 20:18:12+00,1
2026-04-29 20:18:22+00,1
2026-04-29 20:18:32+00,1
2026-04-29 20:18:42+00,1
2026-04-29 20:18:52+00,1
2026-04-29 20:19:02+00,1
2026-04-29 20:19:12+00,1
2026-04-29 20:19:22+00,1
2026-04-29 20:19:32+00,1
2026-04-29 20:19:42+00,1
2026-04-29 20:19:52+00,1
2026-04-29 20:20:02+00,1
2026-04-29 20:20:12+00,1
2026-04-29 20:20:22+00,1
2026-04-29 20:20:32+00,1
2026-04-29 20:20:42+00,1
2026-04-29 20:20:52+00,1
2026-04-29 20:21:02+00,1
2026-04-29 20:21:12+00,1
2026-04-29 20:21:22+00,1
2026-04-29 20:21:32+00,1
2026-04-29 20:21:42+00,1
2026-04-29 20:21:52+00,1
2026-04-29 20:22:02+00,1
2026-04-29 20:22:12+00,1
2026-04-29 20:22:22+00,1
2026-04-29 20:22:32+00,1
2026-04-29 20:22:42+00,1
2026-04-29 20:22:52+00,1
2026-04-29 20:23:02+00,1
2026-04-29 20:23:12+00,1
2026-04-29 20:23:22+00,1
2026-04-29 20:23:32+00,1
2026-04-29 20:23:42+00,1
2026-04-29 20:23:52+00,1
2026-04-29 20:24:02+00,1
2026-04-29 20:24:12+00,1
2026-04-29 20:24:22+00,1
2026-04-29 20:24:32+00,1
2026-04-29 20:24:42+00,1
2026-04-29 20:24:52+00,1
2026-04-29 20:25:02+00,1
2026-04-29 20:25:12+00,1
2026-04-29 20:25:22+00,1
2026-04-29 20:25:32+00,1
2026-04-29 20:25:42+00,1
2026-04-29 20:25:52+00,1
2026-04-29 20:26:02+00,1
2026-04-29 20:26:12+00,1
2026-04-29 20:26:22+00,1
2026-04-29 20:26:32+00,1
2026-04-29 20:40:05+00,1
2026-04-29 20:40:12+00,1
2026-04-29 20:40:22+00,1
2026-04-29 20:40:32+00,1
2026-04-29 20:40:42+00,1
2026-04-29 20:40:52+00,1
2026-04-29 20:41:02+00,1
2026-04-29 20:41:12+00,1
2026-04-29 20:41:22+00,1
2026-04-29 20:41:32+00,1
2026-04-29 20:41:42+00,1
2026-04-29 20:41:52+00,1
2026-04-29 20:42:02+00,1
2026-04-29 20:42:12+00,1
2026-04-29 20:42:22+00,1
2026-04-29 20:42:32+00,1
2026-04-29 20:42:42+00,1
2026-04-29 20:42:52+00,1
2026-04-29 20:43:02+00,1
2026-04-29 20:43:12+00,1
2026-04-29 20:43:22+00,1
2026-04-29 20:43:32+00,1
2026-04-29 20:43:42+00,1
2026-04-29 20:43:52+00,1
2026-04-29 20:44:02+00,1
2026-04-29 20:44:12+00,1
2026-04-29 20:44:22+00,1
2026-04-29 20:44:32+00,1
2026-04-29 20:44:42+00,1
2026-04-29 20:44:52+00,1
2026-04-29 20:45:02+00,1
2026-04-29 20:45:12+00,1
2026-04-29 20:45:22+00,1
2026-04-29 20:45:32+00,1
2026-04-29 20:45:42+00,1
2026-04-29 20:45:52+00,1
2026-04-29 20:46:02+00,1
2026-04-29 20:46:12+00,1
2026-04-29 20:46:22+00,1
2026-04-29 20:46:32+00,1
2026-04-29 20:46:42+00,1
2026-04-29 20:46:52+00,1
2026-04-29 20:47:02+00,1
2026-04-29 20:47:12+00,1
2026-04-29 20:47:22+00,1
2026-04-29 20:47:32+00,1
2026-04-29 20:47:42+00,1
2026-04-29 20:47:52+00,1
2026-04-29 20:48:02+00,1
2026-04-29 20:48:12+00,1
2026-04-29 20:48:22+00,1
2026-04-29 20:48:32+00,1
2026-04-29 20:48:42+00,1
2026-04-29 20:48:52+00,1
2026-04-29 20:49:02+00,1
2026-04-29 20:49:12+00,1
2026-04-29 20:49:22+00,1
2026-04-29 20:49:32+00,1
2026-04-29 20:49:42+00,1
2026-04-29 20:49:52+00,1
2026-04-29 20:50:02+00,1
2026-04-29 20:50:12+00,1
2026-04-29 20:50:22+00,1
2026-04-29 20:50:32+00,1
2026-04-29 20:50:42+00,1
2026-04-29 20:50:52+00,1
2026-04-29 20:51:02+00,1
2026-04-29 20:51:12+00,1
2026-04-29 20:51:22+00,1
