timestamp,value
2026-04-29 20:10:02+00,8
2026-04-29 20:10:07+00,7
2026-04-29 20:10:12+00,7
2026-04-29 20:10:17+00,6
2026-04-29 20:10:22+00,7
2026-04-29 20:10:27+00,6
2026-04-29 20:10:32+00,7
2026-04-29 20:10:37+00,6
2026-04-29 20:10:42+00,7
2026-04-29 20:10:47+00,6
2026-04-29 20:10:52+00,7
2026-04-29 20:10:57+00,6
2026-04-29 20:11:02+00,7
2026-04-29 20:11:07+00,6
2026-04-29 20:11:12+00,7
2026-04-29 20:11:17+00,6
2026-04-29 20:11:22+00,7
2026-04-29 20:11:27+00,6
2026-04-29 20:11:32+00,7
2026-04-29 20:11:37+00,6
2026-04-29 20:11:42+00,7
2026-04-29 20:11:47+00,6
2026-04-29 20:11:52+00,7
2026-04-29 20:11:57+00,6
2026-04-29 20:12:02+00,7
2026-04-29 20:12:07+00,6
2026-04-29 20:12:12+00,7
2026-04-29 20:12:17+00,6
2026-04-29 20:12:22+00,7
2026-04-29 20:12:27+00,6
2026-04-29 20:12:32+00,7
2026-04-29 20:12:37+00,6
2026-04-29 20:12:42+00,7
2026-04-29 20:12:47+00,6
2026-04-29 20:12:52+00,7
2026-04-29 20:12:57+00,6
2026-04-29 20:13:02+00,7
2026-04-29 20:13:07+00,6
2026-04-29 20:13:12+00,7
2026-04-29 20:13:17+00,6
2026-04-29 20:13:22+00,7
2026-04-29 20:13:27+00,6
2026-04-29 20:13:32+00,7
2026-04-29 20:13:37+00,7
2026-04-29 20:13:42+00,8
2026-04-29 20:13:47+00,8
2026-04-29 20:13:52+00,9
2026-04-29 20:13:57+00,9
2026-04-29 20:14:02+00,10
2026-04-29 20:14:07+00,9
2026-04-29 20:14:12+00,10
2026-04-29 20:14:17+00,10
2026-04-29 20:14:22+00,10
2026-04-29 20:14:27+00,10
2026-04-29 20:14:32+00,10
2026-04-29 20:14:37+00,9
2026-04-29 20:14:42+00,8
2026-04-29 20:14:47+00,7
2026-04-29 20:14:52+00,8
2026-04-29 20:14:57+00,8
2026-04-29 20:15:02+00,8
2026-04-29 20:15:07+00,8
2026-04-29 20:15:12+00,9
2026-04-29 20:15:17+00,8
2026-04-29 20:15:22+00,8
2026-04-29 20:15:27+00,8
2026-04-29 20:15:32+00,9
2026-04-29 20:15:37+00,8
2026-04-29 20:15:42+00,9
2026-04-29 20:15:47+00,9
2026-04-29 20:15:52+00,10
2026-04-29 20:15:57+00,10
2026-04-29 20:16:02+00,11
2026-04-29 20:16:07+00,11
2026-04-29 20:16:12+00,11
2026-04-29 20:16:17+00,11
2026-04-29 20:16:22+00,12
2026-04-29 20:16:27+00,11
2026-04-29 20:16:32+00,10
2026-04-29 20:16:37+00,8
2026-04-29 20:16:42+00,8
2026-04-29 20:16:47+00,6
2026-04-29 20:16:52+00,7
2026-04-29 20:16:57+00,6
2026-04-29 20:17:02+00,7
2026-04-29 20:17:07+00,6
2026-04-29 20:17:12+00,7
2026-04-29 20:17:17+00,6
2026-04-29 20:17:22+00,7
2026-04-29 20:17:27+00,6
2026-04-29 20:17:32+00,7
2026-04-29 20:17:37+00,6
2026-04-29 20:17:42+00,7
2026-04-29 20:17:47+00,6
2026-04-29 20:17:52+00,7
2026-04-29 20:17:57+00,6
2026-04-29 20:18:02+00,7
2026-04-29 20:18:07+00,6
2026-04-29 20:18:12+00,6
2026-04-29 20:18:18+00,6
2026-04-29 20:18:22+00,7
2026-04-29 20:18:27+00,6
2026-04-29 20:18:32+00,7
2026-04-29 20:18:37+00,6
2026-04-29 20:18:42+00,7
2026-04-29 20:18:47+00,6
2026-04-29 20:18:52+00,7
2026-04-29 20:18:57+00,6
2026-04-29 20:19:02+00,7
2026-04-29 20:19:07+00,6
2026-04-29 20:19:12+00,7
2026-04-29 20:19:17+00,6
2026-04-29 20:19:22+00,7
2026-04-29 20:19:27+00,6
2026-04-29 20:19:32+00,7
2026-04-29 20:19:37+00,6
2026-04-29 20:19:42+00,7
2026-04-29 20:19:47+00,6
2026-04-29 20:19:52+00,7
2026-04-29 20:19:57+00,6
2026-04-29 20:20:02+00,7
2026-04-29 20:20:07+00,6
2026-04-29 20:20:12+00,7
2026-04-29 20:20:17+00,6
2026-04-29 20:20:22+00,7
2026-04-29 20:20:27+00,6
2026-04-29 20:20:32+00,7
2026-04-29 20:20:37+00,6
2026-04-29 20:20:42+00,7
2026-04-29 20:20:47+00,6
2026-04-29 20:20:52+00,7
2026-04-29 20:20:57+00,6
2026-04-29 20:21:02+00,7
2026-04-29 20:21:07+00,6
2026-04-29 20:21:12+00,7
2026-04-29 20:21:17+00,6
2026-04-29 20:21:22+00,7
2026-04-29 20:21:27+00,6
2026-04-29 20:21:32+00,7
2026-04-29 20:21:37+00,6
2026-04-29 20:21:42+00,7
2026-04-29 20:21:47+00,6
2026-04-29 20:21:52+00,7
2026-04-29 20:21:57+00,6
2026-04-29 20:22:02+00,7
2026-04-29 20:22:07+00,6
2026-04-29 20:22:12+00,7
2026-04-29 20:22:17+00,6
2026-04-29 20:22:22+00,7
2026-04-29 20:22:27+00,6
2026-04-29 20:22:32+00,7
2026-04-29 20:22:37+00,6
2026-04-29 20:22:42+00,7
2026-04-29 20:22:47+00,6
2026-04-29 20:22:52+00,7
2026-04-29 20:22:57+00,6
2026-04-29 20:23:03+00,7
2026-04-29 20:23:07+00,6
2026-04-29 20:23:12+00,7
2026-04-29 20:23:17+00,6
2026-04-29 20:23:22+00,7
2026-04-29 20:23:27+00,6
2026-04-29 20:23:32+00,7
2026-04-29 20:23:37+00,6
2026-04-29 20:23:42+00,7
2026-04-29 20:23:47+00,6
2026-04-29 20:23:52+00,7
2026-04-29 20:23:57+00,6
2026-04-29 20:24:02+00,7
2026-04-29 20:24:07+00,6
2026-04-29 20:24:12+00,7
2026-04-29 20:24:17+00,6
2026-04-29 20:24:22+00,7
2026-04-29 20:24:27+00,6
2026-04-29 20:24:32+00,7
2026-04-29 20:24:37+00,6
2026-04-29 20:24:42+00,7
2026-04-29 20:24:47+00,6
2026-04-29 20:24:52+00,7
2026-04-29 20:24:57+00,6
2026-04-29 20:25:02+00,7
2026-04-29 20:25:07+00,6
2026-04-29 20:25:12+00,7
2026-04-29 20:25:17+00,6
2026-04-29 20:25:22+00,6
2026-04-29 20:25:27+00,6
2026-04-29 20:25:32+00,7
2026-04-29 20:25:37+00,6
2026-04-29 20:25:42+00,7
2026-04-29 20:25:47+00,6
2026-04-29 20:25:52+00,7
2026-04-29 20:25:57+00,6
2026-04-29 20:26:02+00,7
2026-04-29 20:26:07+00,6
2026-04-29 20:26:12+00,7
2026-04-29 20:26:17+00,6
2026-04-29 20:26:22+00,7
2026-04-29 20:26:27+00,6
2026-04-29 20:26:32+00,7
2026-04-29 20:40:05+00,1
2026-04-29 20:40:07+00,1
2026-04-29 20:40:12+00,2
2026-04-29 20:40:17+00,2
2026-04-29 20:40:22+00,3
2026-04-29 20:40:27+00,3
2026-04-29 20:40:32+00,4
2026-04-29 20:40:37+00,4
2026-04-29 20:40:42+00,5
2026-04-29 20:40:47+00,5
2026-04-29 20:40:52+00,6
2026-04-29 20:40:57+00,6
2026-04-29 20:41:02+00,7
2026-04-29 20:41:07+00,6
2026-04-29 20:41:12+00,7
2026-04-29 20:41:17+00,6
2026-04-29 20:41:22+00,7
2026-04-29 20:41:27+00,6
2026-04-29 20:41:32+00,7
2026-04-29 20:41:37+00,6
2026-04-29 20:41:42+00,7
2026-04-29 20:41:47+00,6
2026-04-29 20:41:52+00,7
2026-04-29 20:41:57+00,6
2026-04-29 20:42:02+00,7
2026-04-29 20:42:07+00,6
2026-04-29 20:42:12+00,7
2026-04-29 20:42:17+00,6
2026-04-29 20:42:22+00,7
2026-04-29 20:42:27+00,6
2026-04-29 20:42:32+00,7
2026-04-29 20:42:37+00,6
2026-04-29 20:42:42+00,7
2026-04-29 20:42:47+00,6
2026-04-29 20:42:52+00,7
2026-04-29 20:42:57+00,6
2026-04-29 20:43:02+00,7
2026-04-29 20:43:07+00,6
2026-04-29 20:43:12+00,7
2026-04-29 20:43:17+00,6
2026-04-29 20:43:22+00,7
2026-04-29 20:43:27+00,6
2026-04-29 20:43:32+00,7
2026-04-29 20:43:37+00,6
2026-04-29 20:43:42+00,7
2026-04-29 20:43:47+00,6
2026-04-29 20:43:52+00,7
2026-04-29 20:43:57+00,6
2026-04-29 20:44:02+00,7
2026-04-29 20:44:07+00,6
2026-04-29 20:44:12+00,7
2026-04-29 20:44:17+00,6
2026-04-29 20:44:22+00,7
2026-04-29 20:44:27+00,6
2026-04-29 20:44:32+00,7
2026-04-29 20:44:37+00,6
2026-04-29 20:44:42+00,7
2026-04-29 20:44:47+00,6
2026-04-29 20:44:52+00,7
2026-04-29 20:44:57+00,6
2026-04-29 20:45:02+00,7
2026-04-29 20:45:07+00,6
2026-04-29 20:45:12+00,7
2026-04-29 20:45:17+00,6
2026-04-29 20:45:22+00,7
2026-04-29 20:45:27+00,6
2026-04-29 20:45:32+00,7
2026-04-29 20:45:37+00,6
2026-04-29 20:45:42+00,7
2026-04-29 20:45:47+00,6
2026-04-29 20:45:52+00,7
2026-04-29 20:45:57+00,6
2026-04-29 20:46:02+00,7
2026-04-29 20:46:07+00,6
2026-04-29 20:46:12+00,7
2026-04-29 20:46:17+00,6
2026-04-29 20:46:22+00,7
2026-04-29 20:46:27+00,6
2026-04-29 20:46:32+00,7
2026-04-29 20:46:37+00,6
2026-04-29 20:46:42+00,7
2026-04-29 20:46:47+00,6
2026-04-29 20:46:52+00,7
2026-04-29 20:46:57+00,6
2026-04-29 20:47:02+00,7
2026-04-29 20:47:07+00,6
2026-04-29 20:47:12+00,7
2026-04-29 20:47:17+00,6
2026-04-29 20:47:22+00,7
2026-04-29 20:47:27+00,6
2026-04-29 20:47:32+00,7
2026-04-29 20:47:37+00,6
2026-04-29 20:47:42+00,7
2026-04-29 20:47:47+00,6
2026-04-29 20:47:52+00,7
2026-04-29 20:47:57+00,6
2026-04-29 20:48:02+00,7
2026-04-29 20:48:07+00,6
2026-04-29 20:48:12+00,7
2026-04-29 20:48:17+00,6
2026-04-29 20:48:22+00,7
2026-04-29 20:48:27+00,6
2026-04-29 20:48:32+00,7
2026-04-29 20:48:37+00,6
2026-04-29 20:48:42+00,7
2026-04-29 20:48:47+00,6
2026-04-29 20:48:52+00,7
2026-04-29 20:48:57+00,6
2026-04-29 20:49:02+00,7
2026-04-29 20:49:07+00,6
2026-04-29 20:49:12+00,7
2026-04-29 20:49:17+00,6
2026-04-29 20:49:22+00,7
2026-04-29 20:49:27+00,6
2026-04-29 20:49:32+00,7
2026-04-29 20:49:37+00,6
2026-04-29 20:49:42+00,7
2026-04-29 20:49:47+00,6
2026-04-29 20:49:52+00,7
2026-04-29 20:49:57+00,6
2026-04-29 20:50:02+00,7
2026-04-29 20:50:07+00,6
2026-04-29 20:50:12+00,7
2026-04-29 20:50:17+00,6
2026-04-29 20:50:22+00,7
2026-04-29 20:50:27+00,6
2026-04-29 20:50:32+00,7
2026-04-29 20:50:37+00,6
2026-04-29 20:50:42+00,7
2026-04-29 20:50:47+00,6
2026-04-29 20:50:52+00,7
2026-04-29 20:50:57+00,6
2026-04-29 20:51:02+00,7
2026-04-29 20:51:07+00,6
2026-04-29 20:51:12+00,7
2026-04-29 20:51:17+00,6
2026-04-29 20:51:22+00,6
2026-04-29 20:51:27+00,6
2026-04-29 20:51:32+00,7
2026-04-29 20:51:37+00,6
2026-04-29 20:51:42+00,7
2026-04-29 20:51:47+00,6
2026-04-29 20:51:52+00,7
2026-04-29 20:51:57+00,6
2026-04-29 20:52:02+00,7
2026-04-29 20:52:07+00,6
2026-04-29 20:52:12+00,7
2026-04-29 20:52:17+00,6
2026-04-29 20:52:22+00,7
2026-04-29 20:52:27+00,6
2026-04-29 20:52:32+00,7
2026-04-29 20:52:37+00,6
2026-04-29 20:52:42+00,7
2026-04-29 20:52:47+00,6
2026-04-29 20:52:52+00,7
2026-04-29 20:52:57+00,6
2026-04-29 20:53:02+00,7
2026-04-29 20:53:07+00,6
2026-04-29 20:53:12+00,7
2026-04-29 20:53:17+00,6
2026-04-29 20:53:22+00,7
2026-04-29 20:53:27+00,6
2026-04-29 20:53:32+00,7
2026-04-29 20:53:37+00,6
2026-04-29 20:53:42+00,7
2026-04-29 20:53:47+00,6
2026-04-29 20:53:52+00,7
2026-04-29 20:53:57+00,6
2026-04-29 20:54:02+00,7
2026-04-29 20:54:07+00,6
2026-04-29 20:54:12+00,7
2026-04-29 20:54:17+00,6
2026-04-29 20:54:22+00,7
2026-04-29 20:54:27+00,6
2026-04-29 21:05:49+00,1
2026-04-29 21:05:52+00,2
2026-04-29 21:05:57+00,2
2026-04-29 21:06:02+00,3
2026-04-29 21:06:07+00,3
2026-04-29 21:06:12+00,4
2026-04-29 21:06:17+00,4
2026-04-29 21:06:22+00,5
2026-04-29 21:06:27+00,5
2026-04-29 21:06:32+00,6
2026-04-29 21:06:37+00,6
2026-04-29 21:06:42+00,7
2026-04-29 21:06:47+00,7
2026-04-29 21:06:52+00,8
2026-04-29 21:06:57+00,6
2026-04-29 21:07:02+00,7
2026-04-29 21:07:07+00,6
2026-04-29 21:07:12+00,7
2026-04-29 21:07:17+00,6
2026-04-29 21:07:22+00,7
2026-04-29 21:07:27+00,6
2026-04-29 21:07:32+00,7
2026-04-29 21:07:37+00,6
2026-04-29 21:07:42+00,7
2026-04-29 21:07:47+00,6
2026-04-29 21:07:52+00,7
2026-04-29 21:07:57+00,6
2026-04-29 21:08:02+00,7
2026-04-29 21:08:07+00,6
2026-04-29 21:08:12+00,7
2026-04-29 21:08:17+00,6
2026-04-29 21:08:22+00,7
2026-04-29 21:08:27+00,6
2026-04-29 21:08:32+00,7
2026-04-29 21:08:37+00,6
2026-04-29 21:08:42+00,7
2026-04-29 21:08:47+00,6
2026-04-29 21:08:52+00,7
2026-04-29 21:08:57+00,6
2026-04-29 21:09:02+00,7
2026-04-29 21:09:07+00,6
2026-04-29 21:09:12+00,7
2026-04-29 21:09:17+00,6
2026-04-29 21:09:22+00,7
2026-04-29 21:09:27+00,6
2026-04-29 21:09:32+00,7
2026-04-29 21:09:37+00,6
2026-04-29 21:09:42+00,7
2026-04-29 21:09:47+00,6
2026-04-29 21:09:52+00,7
2026-04-29 21:09:57+00,6
2026-04-29 21:10:02+00,7
2026-04-29 21:10:07+00,6
2026-04-29 21:10:13+00,7
2026-04-29 21:10:17+00,6
2026-04-29 21:10:22+00,7
2026-04-29 21:10:27+00,6
2026-04-29 21:10:32+00,7
2026-04-29 21:10:37+00,6
2026-04-29 21:10:42+00,7
2026-04-29 21:10:47+00,6
2026-04-29 21:10:52+00,7
2026-04-29 21:10:57+00,6
2026-04-29 21:11:02+00,7
2026-04-29 21:11:07+00,6
2026-04-29 21:11:12+00,7
2026-04-29 21:11:17+00,6
2026-04-29 21:11:22+00,7
2026-04-29 21:11:27+00,6
2026-04-29 21:11:32+00,7
2026-04-29 21:11:37+00,6
2026-04-29 21:11:42+00,7
2026-04-29 21:11:47+00,6
2026-04-29 21:11:52+00,7
2026-04-29 21:11:57+00,6
2026-04-29 21:12:02+00,7
2026-04-29 21:12:08+00,6
2026-04-29 21:12:12+00,7
2026-04-29 21:12:17+00,6
2026-04-29 21:12:22+00,7
2026-04-29 21:12:27+00,6
2026-04-29 21:12:32+00,7
2026-04-29 21:12:37+00,6
2026-04-29 21:12:42+00,7
2026-04-29 21:12:47+00,6
2026-04-29 21:12:52+00,7
2026-04-29 21:12:57+00,6
2026-04-29 21:13:02+00,7
2026-04-29 21:13:07+00,6
2026-04-29 21:13:12+00,7
2026-04-29 21:13:17+00,6
2026-04-29 21:13:23+00,7
2026-04-29 21:13:27+00,6
2026-04-29 21:13:32+00,7
2026-04-29 21:13:37+00,6
2026-04-29 21:13:42+00,7
2026-04-29 21:13:47+00,6
2026-04-29 21:13:52+00,7
2026-04-29 21:13:57+00,6
2026-04-29 21:14:02+00,7
2026-04-29 21:14:08+00,6
2026-04-29 21:14:12+00,7
2026-04-29 21:14:17+00,6
2026-04-29 21:14:22+00,7
2026-04-29 21:14:27+00,6
2026-04-29 21:14:32+00,7
2026-04-29 21:14:37+00,6
2026-04-29 21:14:42+00,7
2026-04-29 21:14:47+00,6
2026-04-29 21:14:52+00,7
2026-04-29 21:14:57+00,6
2026-04-29 21:15:02+00,7
2026-04-29 21:15:07+00,6
2026-04-29 21:15:12+00,7
2026-04-29 21:15:17+00,6
2026-04-29 21:15:22+00,7
2026-04-29 21:15:27+00,6
2026-04-29 21:15:32+00,7
2026-04-29 21:15:37+00,6
2026-04-29 21:15:43+00,7
2026-04-29 21:15:47+00,6
2026-04-29 21:15:52+00,7
2026-04-29 21:15:57+00,6
2026-04-29 21:16:02+00,7
2026-04-29 21:16:07+00,6
2026-04-29 21:16:12+00,7
2026-04-29 21:16:17+00,6
2026-04-29 21:16:22+00,7
2026-04-29 21:16:27+00,6
2026-04-29 21:16:32+00,7
2026-04-29 21:16:37+00,6
2026-04-29 21:16:42+00,7
2026-04-29 21:16:47+00,6
2026-04-29 21:16:52+00,7
2026-04-29 21:16:57+00,6
2026-04-29 21:17:02+00,6
2026-04-29 21:17:07+00,6
2026-04-29 21:17:12+00,7
2026-04-29 21:17:18+00,6
2026-04-29 21:17:22+00,7
2026-04-29 21:17:27+00,6
2026-04-29 21:17:32+00,7
2026-04-29 21:17:37+00,6
2026-04-29 21:17:42+00,7
2026-04-29 21:17:47+00,6
2026-04-29 21:17:52+00,7
2026-04-29 21:17:57+00,6
2026-04-29 21:18:02+00,7
2026-04-29 21:18:08+00,6
2026-04-29 21:18:12+00,7
2026-04-29 21:18:17+00,6
2026-04-29 21:18:22+00,7
2026-04-29 21:18:27+00,6
2026-04-29 21:18:32+00,7
