timestamp,value
2026-04-29 21:12:03+00,0.027344
2026-04-29 21:12:13+00,0.022461
2026-04-29 21:12:23+00,0.018555
2026-04-29 21:12:34+00,0.015137
2026-04-29 21:12:43+00,0.012207
2026-04-29 21:12:53+00,0.009766
2026-04-29 21:13:03+00,0.007812
2026-04-29 21:13:13+00,0.080078
2026-04-29 21:13:23+00,0.066895
2026-04-29 21:13:33+00,0.056152
2026-04-29 21:13:43+00,0.046875
2026-04-29 21:13:53+00,0.039062
2026-04-29 21:14:03+00,0.032715
2026-04-29 21:14:13+00,0.174805
2026-04-29 21:14:23+00,0.147461
2026-04-29 21:14:33+00,0.198242
2026-04-29 21:14:43+00,0.16748
2026-04-29 21:14:53+00,0.141113
2026-04-29 21:15:03+00,0.118652
2026-04-29 21:15:13+00,0.100098
2026-04-29 21:15:23+00,0.083984
2026-04-29 21:15:33+00,0.070801
2026-04-29 21:15:43+00,0.05957
2026-04-29 21:15:53+00,0.050293
2026-04-29 21:16:03+00,0.122559
2026-04-29 21:16:13+00,0.103027
2026-04-29 21:16:23+00,0.086914
2026-04-29 21:16:33+00,0.072754
2026-04-29 21:16:43+00,0.061523
2026-04-29 21:16:53+00,0.05127
2026-04-29 21:17:03+00,0.042969
2026-04-29 21:17:13+00,0.116211
2026-04-29 21:17:23+00,0.097656
2026-04-29 21:17:33+00,0.082031
2026-04-29 21:17:43+00,0.068848
2026-04-29 21:17:54+00,0.057617
2026-04-29 21:18:03+00,0.04834
2026-04-29 21:18:13+00,0.040527
2026-04-29 21:18:23+00,0.033691
2026-04-29 21:18:33+00,0.027832
2026-04-29 21:18:43+00,0.022949
2026-04-29 21:18:53+00,0.019043
2026-04-29 21:19:03+00,0.015625
2026-04-29 21:19:13+00,0.012695
2026-04-29 21:19:23+00,0.010254
2026-04-29 21:19:33+00,0.008301
2026-04-29 21:19:43+00,0.006348
2026-04-29 21:19:53+00,0.004883
