timestamp,value
2026-04-29 21:12:05+00,0.707839
2026-04-29 21:12:15+00,0.706589
2026-04-29 21:12:25+00,0.687467
2026-04-29 21:12:35+00,0.705841
2026-04-29 21:12:45+00,0.741002
2026-04-29 21:12:55+00,0.759986
2026-04-29 21:13:05+00,0.760793
2026-04-29 21:13:15+00,0.744681
2026-04-29 21:13:25+00,0.744813
2026-04-29 21:13:35+00,0.762817
2026-04-29 21:13:45+00,0.747331
2026-04-29 21:13:55+00,0.746401
2026-04-29 21:14:05+00,0.746269
2026-04-29 21:14:15+00,0.746667
2026-04-29 21:14:25+00,0.802998
2026-04-29 21:14:35+00,0.819526
2026-04-29 21:14:45+00,0.835704
2026-04-29 21:14:55+00,0.816761
2026-04-29 21:15:05+00,0.797166
2026-04-29 21:15:15+00,0.795756
2026-04-29 21:15:25+00,0.740219
2026-04-29 21:15:35+00,0.669486
2026-04-29 21:15:45+00,0.615655
2026-04-29 21:15:55+00,0.633023
2026-04-29 21:16:05+00,0.634473
2026-04-29 21:16:15+00,0.617611
2026-04-29 21:16:25+00,0.617502
2026-04-29 21:16:35+00,0.618484
2026-04-29 21:16:45+00,0.654057
2026-04-29 21:16:55+00,0.671615
2026-04-29 21:17:05+00,0.670667
2026-04-29 21:17:15+00,0.686499
2026-04-29 21:17:25+00,0.685895
2026-04-29 21:17:35+00,0.899788
2026-04-29 21:17:45+00,0.865419
2026-04-29 21:17:55+00,0.847458
2026-04-29 21:18:05+00,0.847158
2026-04-29 21:18:15+00,0.848506
2026-04-29 21:18:25+00,0.849407
2026-04-29 21:18:35+00,0.633691
2026-04-29 21:18:45+00,0.615331
2026-04-29 21:18:55+00,0.616849
2026-04-29 21:19:05+00,0.634249
2026-04-29 21:19:15+00,0.634809
2026-04-29 21:19:25+00,0.652097
2026-04-29 21:19:35+00,0.652442
2026-04-29 21:19:46+00,0.653364
2026-04-29 21:19:55+00,0.652672
