timestamp,value
2026-04-29 21:12:03+00,1501
2026-04-29 21:12:08+00,1221
2026-04-29 21:12:13+00,1297
2026-04-29 21:12:18+00,1398
2026-04-29 21:12:23+00,1341
2026-04-29 21:12:28+00,1798
2026-04-29 21:12:34+00,1453
2026-04-29 21:12:38+00,1543
2026-04-29 21:12:43+00,1668
2026-04-29 21:12:48+00,1534
2026-04-29 21:12:53+00,1984
2026-04-29 21:12:58+00,1800
2026-04-29 21:13:03+00,1452
2026-04-29 21:13:08+00,1165
2026-04-29 21:13:13+00,1352
2026-04-29 21:13:18+00,1304
2026-04-29 21:13:23+00,1519
2026-04-29 21:13:28+00,1576
2026-04-29 21:13:33+00,1573
2026-04-29 21:13:38+00,1275
2026-04-29 21:13:43+00,1684
2026-04-29 21:13:48+00,1412
2026-04-29 21:13:53+00,1657
2026-04-29 21:13:58+00,1727
2026-04-29 21:14:03+00,1496
2026-04-29 21:14:08+00,1276
2026-04-29 21:14:13+00,1238
2026-04-29 21:14:18+00,1326
2026-04-29 21:14:23+00,1521
2026-04-29 21:14:28+00,1632
2026-04-29 21:14:33+00,1600
2026-04-29 21:14:38+00,1405
2026-04-29 21:14:43+00,1623
2026-04-29 21:14:48+00,1503
2026-04-29 21:14:53+00,1674
2026-04-29 21:14:58+00,1874
2026-04-29 21:15:03+00,1368
2026-04-29 21:15:08+00,1244
2026-04-29 21:15:13+00,1319
2026-04-29 21:15:18+00,1346
2026-04-29 21:15:23+00,1486
2026-04-29 21:15:28+00,1701
2026-04-29 21:15:33+00,1625
2026-04-29 21:15:38+00,1386
2026-04-29 21:15:43+00,1722
2026-04-29 21:15:48+00,1569
2026-04-29 21:15:53+00,2015
2026-04-29 21:15:58+00,1888
2026-04-29 21:16:03+00,1413
2026-04-29 21:16:08+00,1120
2026-04-29 21:16:13+00,1376
2026-04-29 21:16:18+00,1258
2026-04-29 21:16:23+00,1401
2026-04-29 21:16:28+00,1592
2026-04-29 21:16:33+00,1544
2026-04-29 21:16:38+00,1344
2026-04-29 21:16:43+00,1561
2026-04-29 21:16:48+00,1511
2026-04-29 21:16:53+00,1578
2026-04-29 21:16:58+00,2010
2026-04-29 21:17:03+00,1512
2026-04-29 21:17:08+00,1183
2026-04-29 21:17:13+00,1392
2026-04-29 21:17:18+00,1464
2026-04-29 21:17:23+00,1425
2026-04-29 21:17:28+00,1640
2026-04-29 21:17:33+00,1586
2026-04-29 21:17:38+00,1412
2026-04-29 21:17:43+00,1581
2026-04-29 21:17:48+00,1503
2026-04-29 21:17:54+00,1510
2026-04-29 21:17:58+00,2010
2026-04-29 21:18:03+00,1536
2026-04-29 21:18:08+00,1249
2026-04-29 21:18:13+00,1296
2026-04-29 21:18:18+00,1327
2026-04-29 21:18:23+00,1495
2026-04-29 21:18:28+00,1635
2026-04-29 21:18:33+00,1413
2026-04-29 21:18:38+00,1559
2026-04-29 21:18:43+00,1653
2026-04-29 21:18:48+00,1509
2026-04-29 21:18:53+00,2108
2026-04-29 21:18:58+00,1864
2026-04-29 21:19:03+00,1606
2026-04-29 21:19:08+00,1152
2026-04-29 21:19:13+00,1401
2026-04-29 21:19:19+00,1259
2026-04-29 21:19:23+00,1521
2026-04-29 21:19:28+00,1625
2026-04-29 21:19:33+00,1609
2026-04-29 21:19:38+00,1371
2026-04-29 21:19:43+00,1640
2026-04-29 21:19:48+00,1490
2026-04-29 21:19:53+00,1565
2026-04-29 21:19:58+00,1852
