timestamp,value
2026-04-29 21:12:03+00,18
2026-04-29 21:12:08+00,14
2026-04-29 21:12:13+00,15
2026-04-29 21:12:18+00,16
2026-04-29 21:12:23+00,18
2026-04-29 21:12:28+00,18
2026-04-29 21:12:34+00,18
2026-04-29 21:12:38+00,18
2026-04-29 21:12:43+00,18
2026-04-29 21:12:48+00,18
2026-04-29 21:12:53+00,23
2026-04-29 21:12:58+00,21
2026-04-29 21:13:03+00,17
2026-04-29 21:13:08+00,13
2026-04-29 21:13:13+00,16
2026-04-29 21:13:18+00,15
2026-04-29 21:13:23+00,17
2026-04-29 21:13:28+00,18
2026-04-29 21:13:33+00,17
2026-04-29 21:13:38+00,16
2026-04-29 21:13:43+00,18
2026-04-29 21:13:48+00,17
2026-04-29 21:13:53+00,19
2026-04-29 21:13:58+00,20
2026-04-29 21:14:03+00,17
2026-04-29 21:14:08+00,14
2026-04-29 21:14:13+00,14
2026-04-29 21:14:18+00,15
2026-04-29 21:14:23+00,19
2026-04-29 21:14:28+00,18
2026-04-29 21:14:33+00,19
2026-04-29 21:14:38+00,17
2026-04-29 21:14:43+00,19
2026-04-29 21:14:48+00,17
2026-04-29 21:14:53+00,20
2026-04-29 21:14:58+00,21
2026-04-29 21:15:03+00,15
2026-04-29 21:15:08+00,15
2026-04-29 21:15:13+00,15
2026-04-29 21:15:18+00,16
2026-04-29 21:15:23+00,18
2026-04-29 21:15:28+00,19
2026-04-29 21:15:33+00,19
2026-04-29 21:15:38+00,16
2026-04-29 21:15:43+00,20
2026-04-29 21:15:48+00,18
2026-04-29 21:15:53+00,22
2026-04-29 21:15:58+00,22
2026-04-29 21:16:03+00,17
2026-04-29 21:16:08+00,13
2026-04-29 21:16:13+00,15
2026-04-29 21:16:18+00,14
2026-04-29 21:16:23+00,16
2026-04-29 21:16:28+00,19
2026-04-29 21:16:33+00,18
2026-04-29 21:16:38+00,15
2026-04-29 21:16:43+00,18
2026-04-29 21:16:48+00,18
2026-04-29 21:16:53+00,18
2026-04-29 21:16:58+00,23
2026-04-29 21:17:03+00,17
2026-04-29 21:17:08+00,14
2026-04-29 21:17:13+00,16
2026-04-29 21:17:18+00,18
2026-04-29 21:17:23+00,16
2026-04-29 21:17:28+00,19
2026-04-29 21:17:33+00,20
2026-04-29 21:17:38+00,15
2026-04-29 21:17:43+00,19
2026-04-29 21:17:48+00,17
2026-04-29 21:17:54+00,17
2026-04-29 21:17:58+00,22
2026-04-29 21:18:03+00,18
2026-04-29 21:18:08+00,15
2026-04-29 21:18:13+00,15
2026-04-29 21:18:18+00,15
2026-04-29 21:18:23+00,17
2026-04-29 21:18:28+00,19
2026-04-29 21:18:33+00,18
2026-04-29 21:18:38+00,16
2026-04-29 21:18:43+00,19
2026-04-29 21:18:48+00,19
2026-04-29 21:18:53+00,24
2026-04-29 21:18:58+00,21
2026-04-29 21:19:03+00,18
2026-04-29 21:19:08+00,14
2026-04-29 21:19:13+00,16
2026-04-29 21:19:19+00,14
2026-04-29 21:19:23+00,18
2026-04-29 21:19:28+00,20
2026-04-29 21:19:33+00,20
2026-04-29 21:19:38+00,15
2026-04-29 21:19:43+00,19
2026-04-29 21:19:48+00,16
2026-04-29 21:19:53+00,20
2026-04-29 21:19:58+00,20
