timestamp,value
2026-04-29 21:12:09+00,1467850752
2026-04-29 21:12:39+00,1467858944
2026-04-29 21:13:09+00,1467858944
2026-04-29 21:13:40+00,1467867136
2026-04-29 21:14:09+00,1467867136
2026-04-29 21:14:39+00,1467875328
2026-04-29 21:15:09+00,1467875328
2026-04-29 21:15:39+00,1467891712
2026-04-29 21:16:09+00,1467891712
2026-04-29 21:16:39+00,1467899904
2026-04-29 21:17:09+00,1467899904
2026-04-29 21:17:39+00,1465307136
2026-04-29 21:18:09+00,1472315392
2026-04-29 21:18:39+00,1472323584
2026-04-29 21:19:09+00,1472323584
2026-04-29 21:19:39+00,1472331776
