timestamp,value
2026-04-29 21:12:04+00,4798
2026-04-29 21:12:09+00,1232
2026-04-29 21:12:14+00,3183
2026-04-29 21:12:19+00,1178
2026-04-29 21:12:24+00,3347
2026-04-29 21:12:29+00,1425
2026-04-29 21:12:34+00,3646
2026-04-29 21:12:39+00,1169
2026-04-29 21:12:44+00,3469
2026-04-29 21:12:49+00,1576
2026-04-29 21:12:54+00,3693
2026-04-29 21:12:59+00,1712
2026-04-29 21:13:04+00,4606
2026-04-29 21:13:09+00,1153
2026-04-29 21:13:14+00,3176
2026-04-29 21:13:19+00,1195
2026-04-29 21:13:24+00,3335
2026-04-29 21:13:29+00,1435
2026-04-29 21:13:34+00,3523
2026-04-29 21:13:40+00,1196
2026-04-29 21:13:44+00,4062
2026-04-29 21:13:49+00,1194
2026-04-29 21:13:54+00,3702
2026-04-29 21:13:59+00,1777
2026-04-29 21:14:04+00,4488
2026-04-29 21:14:09+00,1175
2026-04-29 21:14:14+00,3225
2026-04-29 21:14:20+00,1187
2026-04-29 21:14:24+00,3655
2026-04-29 21:14:29+00,1480
2026-04-29 21:14:34+00,3334
2026-04-29 21:14:39+00,1237
2026-04-29 21:14:44+00,3642
2026-04-29 21:14:49+00,1244
2026-04-29 21:14:54+00,3455
2026-04-29 21:14:59+00,1686
2026-04-29 21:15:04+00,4559
2026-04-29 21:15:09+00,1165
2026-04-29 21:15:14+00,3243
2026-04-29 21:15:19+00,1307
2026-04-29 21:15:24+00,3252
2026-04-29 21:15:29+00,1425
2026-04-29 21:15:34+00,3468
2026-04-29 21:15:39+00,1258
2026-04-29 21:15:44+00,3467
2026-04-29 21:15:49+00,1448
2026-04-29 21:15:54+00,3689
2026-04-29 21:15:59+00,1793
2026-04-29 21:16:04+00,4199
2026-04-29 21:16:09+00,1200
2026-04-29 21:16:14+00,3238
2026-04-29 21:16:19+00,1242
2026-04-29 21:16:24+00,3351
2026-04-29 21:16:29+00,1573
2026-04-29 21:16:34+00,3488
2026-04-29 21:16:39+00,1213
2026-04-29 21:16:45+00,3488
2026-04-29 21:16:49+00,1230
2026-04-29 21:16:54+00,3402
2026-04-29 21:17:00+00,1756
2026-04-29 21:17:04+00,4844
2026-04-29 21:17:09+00,1147
2026-04-29 21:17:14+00,3211
2026-04-29 21:17:19+00,1284
2026-04-29 21:17:24+00,3222
2026-04-29 21:17:29+00,1477
2026-04-29 21:17:34+00,3443
2026-04-29 21:17:39+00,1259
2026-04-29 21:17:44+00,3382
2026-04-29 21:17:49+00,1260
2026-04-29 21:17:54+00,3874
2026-04-29 21:17:59+00,1630
2026-04-29 21:18:04+00,4628
2026-04-29 21:18:09+00,1137
2026-04-29 21:18:14+00,3139
2026-04-29 21:18:19+00,1229
2026-04-29 21:18:24+00,3214
2026-04-29 21:18:29+00,1552
2026-04-29 21:18:34+00,3563
2026-04-29 21:18:39+00,1190
2026-04-29 21:18:44+00,3484
2026-04-29 21:18:49+00,1395
2026-04-29 21:18:54+00,3699
2026-04-29 21:18:59+00,1744
2026-04-29 21:19:04+00,4374
2026-04-29 21:19:09+00,1193
2026-04-29 21:19:14+00,3132
2026-04-29 21:19:19+00,1412
2026-04-29 21:19:24+00,3013
2026-04-29 21:19:29+00,1399
2026-04-29 21:19:34+00,3436
2026-04-29 21:19:39+00,1310
2026-04-29 21:19:44+00,3334
2026-04-29 21:19:49+00,1255
2026-04-29 21:19:55+00,3315
2026-04-29 21:19:59+00,1785
