timestamp,value
2026-04-29 21:12:02+00,0.008841
2026-04-29 21:12:11+00,0.007159
2026-04-29 21:12:21+00,0.015812
2026-04-29 21:12:31+00,0.013937
2026-04-29 21:12:41+00,0.013802
2026-04-29 21:12:51+00,0.011748
2026-04-29 21:13:01+00,0.005047
2026-04-29 21:13:11+00,0.007074
2026-04-29 21:13:21+00,0.007642
2026-04-29 21:13:31+00,0.009315
2026-04-29 21:13:42+00,0.018555
2026-04-29 21:13:51+00,0.007441
2026-04-29 21:14:01+00,0.008184
2026-04-29 21:14:11+00,0.017173
2026-04-29 21:14:22+00,0.017343
2026-04-29 21:14:31+00,0.004803
2026-04-29 21:14:41+00,0.004269
2026-04-29 21:14:51+00,0.006755
2026-04-29 21:15:01+00,0.00368
2026-04-29 21:15:11+00,0.082027
2026-04-29 21:15:22+00,0.0093
2026-04-29 21:15:31+00,0.007657
2026-04-29 21:15:41+00,0.006555
2026-04-29 21:15:51+00,0.058469
2026-04-29 21:16:01+00,0.009493
2026-04-29 21:16:11+00,0.006796
2026-04-29 21:16:21+00,0.006659
2026-04-29 21:16:31+00,0.01433
2026-04-29 21:16:41+00,0.010535
2026-04-29 21:16:51+00,0.009822
2026-04-29 21:17:01+00,0.006025
2026-04-29 21:17:11+00,0.018187
2026-04-29 21:17:21+00,0.007193
2026-04-29 21:17:31+00,0.005108
2026-04-29 21:17:41+00,0.007558
2026-04-29 21:17:51+00,0.005464
2026-04-29 21:18:01+00,0.004987
2026-04-29 21:18:11+00,0.004699
2026-04-29 21:18:21+00,0.005895
2026-04-29 21:18:31+00,0.006792
2026-04-29 21:18:41+00,0.005995
2026-04-29 21:18:51+00,0.011573
2026-04-29 21:19:01+00,0.012881
2026-04-29 21:19:11+00,0.004573
2026-04-29 21:19:21+00,0.00443
2026-04-29 21:19:31+00,0.005007
2026-04-29 21:19:41+00,0.006057
2026-04-29 21:19:51+00,0.010822
