timestamp,value
2026-04-29 21:12:02+00,1
2026-04-29 21:12:12+00,1
2026-04-29 21:12:22+00,1
2026-04-29 21:12:32+00,1
2026-04-29 21:12:42+00,1
2026-04-29 21:12:52+00,1
2026-04-29 21:13:02+00,1
2026-04-29 21:13:12+00,1
2026-04-29 21:13:23+00,1
2026-04-29 21:13:32+00,1
2026-04-29 21:13:42+00,1
2026-04-29 21:13:52+00,1
2026-04-29 21:14:02+00,1
2026-04-29 21:14:12+00,1
2026-04-29 21:14:22+00,1
2026-04-29 21:14:32+00,1
2026-04-29 21:14:42+00,1
2026-04-29 21:14:52+00,1
2026-04-29 21:15:02+00,1
2026-04-29 21:15:12+00,1
2026-04-29 21:15:22+00,1
2026-04-29 21:15:32+00,1
2026-04-29 21:15:43+00,1
2026-04-29 21:15:52+00,1
2026-04-29 21:16:02+00,1
2026-04-29 21:16:12+00,1
2026-04-29 21:16:22+00,1
2026-04-29 21:16:32+00,1
2026-04-29 21:16:42+00,1
2026-04-29 21:16:52+00,1
2026-04-29 21:17:02+00,1
2026-04-29 21:17:12+00,1
2026-04-29 21:17:22+00,1
2026-04-29 21:17:32+00,1
2026-04-29 21:17:42+00,1
2026-04-29 21:17:52+00,1
2026-04-29 21:18:02+00,1
2026-04-29 21:18:12+00,1
2026-04-29 21:18:22+00,1
2026-04-29 21:18:32+00,1
2026-04-29 21:18:42+00,1
2026-04-29 21:18:52+00,1
2026-04-29 21:19:03+00,1
2026-04-29 21:19:12+00,1
2026-04-29 21:19:22+00,1
2026-04-29 21:19:32+00,1
2026-04-29 21:19:42+00,1
2026-04-29 21:19:52+00,1
