timestamp,value
2026-04-29 21:12:04+00,0
2026-04-29 21:12:09+00,0
2026-04-29 21:12:14+00,0
2026-04-29 21:12:19+00,0
2026-04-29 21:12:24+00,0
2026-04-29 21:12:29+00,0
2026-04-29 21:12:34+00,0
2026-04-29 21:12:39+00,0
2026-04-29 21:12:44+00,0
2026-04-29 21:12:49+00,0
2026-04-29 21:12:54+00,0
2026-04-29 21:12:59+00,0
2026-04-29 21:13:04+00,0
2026-04-29 21:13:09+00,0
2026-04-29 21:13:14+00,0
2026-04-29 21:13:19+00,0
2026-04-29 21:13:24+00,0
2026-04-29 21:13:29+00,0
2026-04-29 21:13:34+00,0
2026-04-29 21:13:40+00,0
2026-04-29 21:13:44+00,0
2026-04-29 21:13:49+00,0
2026-04-29 21:13:54+00,0
2026-04-29 21:13:59+00,0
2026-04-29 21:14:04+00,0
2026-04-29 21:14:09+00,0
2026-04-29 21:14:14+00,0
2026-04-29 21:14:20+00,0
2026-04-29 21:14:24+00,0
2026-04-29 21:14:29+00,0
2026-04-29 21:14:34+00,0
2026-04-29 21:14:39+00,0
2026-04-29 21:14:44+00,0
2026-04-29 21:14:49+00,0
2026-04-29 21:14:54+00,0
2026-04-29 21:14:59+00,0
2026-04-29 21:15:04+00,0
2026-04-29 21:15:09+00,0
2026-04-29 21:15:14+00,0
2026-04-29 21:15:19+00,0
2026-04-29 21:15:24+00,0
2026-04-29 21:15:29+00,0
2026-04-29 21:15:34+00,0
2026-04-29 21:15:39+00,0
2026-04-29 21:15:44+00,0
2026-04-29 21:15:49+00,0
2026-04-29 21:15:54+00,0
2026-04-29 21:15:59+00,0
2026-04-29 21:16:04+00,0
2026-04-29 21:16:09+00,0
2026-04-29 21:16:14+00,0
2026-04-29 21:16:19+00,0
2026-04-29 21:16:24+00,0
2026-04-29 21:16:29+00,0
2026-04-29 21:16:34+00,0
2026-04-29 21:16:39+00,0
2026-04-29 21:16:45+00,0
2026-04-29 21:16:49+00,0
2026-04-29 21:16:54+00,0
2026-04-29 21:17:00+00,0
2026-04-29 21:17:04+00,0
2026-04-29 21:17:09+00,0
2026-04-29 21:17:14+00,0
2026-04-29 21:17:19+00,0
2026-04-29 21:17:24+00,0
2026-04-29 21:17:29+00,0
2026-04-29 21:17:34+00,0
2026-04-29 21:17:39+00,0
2026-04-29 21:17:44+00,0
2026-04-29 21:17:49+00,0
2026-04-29 21:17:54+00,0
2026-04-29 21:17:59+00,0
2026-04-29 21:18:04+00,0
2026-04-29 21:18:09+00,0
2026-04-29 21:18:14+00,0
2026-04-29 21:18:19+00,0
2026-04-29 21:18:24+00,0
2026-04-29 21:18:29+00,0
2026-04-29 21:18:34+00,0
2026-04-29 21:18:39+00,0
2026-04-29 21:18:44+00,0
2026-04-29 21:18:49+00,0
2026-04-29 21:18:54+00,0
2026-04-29 21:18:59+00,0
2026-04-29 21:19:04+00,0
2026-04-29 21:19:09+00,0
2026-04-29 21:19:14+00,0
2026-04-29 21:19:19+00,0
2026-04-29 21:19:24+00,0
2026-04-29 21:19:29+00,0
2026-04-29 21:19:34+00,0
2026-04-29 21:19:39+00,0
2026-04-29 21:19:44+00,0
2026-04-29 21:19:49+00,0
2026-04-29 21:19:55+00,0
2026-04-29 21:19:59+00,0
