timestamp,value
2026-04-29 21:12:02+00,7
2026-04-29 21:12:08+00,6
2026-04-29 21:12:12+00,7
2026-04-29 21:12:17+00,6
2026-04-29 21:12:22+00,7
2026-04-29 21:12:27+00,6
2026-04-29 21:12:32+00,7
2026-04-29 21:12:37+00,6
2026-04-29 21:12:42+00,7
2026-04-29 21:12:47+00,6
2026-04-29 21:12:52+00,7
2026-04-29 21:12:57+00,6
2026-04-29 21:13:02+00,7
2026-04-29 21:13:07+00,6
2026-04-29 21:13:12+00,7
2026-04-29 21:13:17+00,6
2026-04-29 21:13:23+00,7
2026-04-29 21:13:27+00,6
2026-04-29 21:13:32+00,7
2026-04-29 21:13:37+00,6
2026-04-29 21:13:42+00,7
2026-04-29 21:13:47+00,6
2026-04-29 21:13:52+00,7
2026-04-29 21:13:57+00,6
2026-04-29 21:14:02+00,7
2026-04-29 21:14:08+00,6
2026-04-29 21:14:12+00,7
2026-04-29 21:14:17+00,6
2026-04-29 21:14:22+00,7
2026-04-29 21:14:27+00,6
2026-04-29 21:14:32+00,7
2026-04-29 21:14:37+00,6
2026-04-29 21:14:42+00,7
2026-04-29 21:14:47+00,6
2026-04-29 21:14:52+00,7
2026-04-29 21:14:57+00,6
2026-04-29 21:15:02+00,7
2026-04-29 21:15:07+00,6
2026-04-29 21:15:12+00,7
2026-04-29 21:15:17+00,6
2026-04-29 21:15:22+00,7
2026-04-29 21:15:27+00,6
2026-04-29 21:15:32+00,7
2026-04-29 21:15:37+00,6
2026-04-29 21:15:43+00,7
2026-04-29 21:15:47+00,6
2026-04-29 21:15:52+00,7
2026-04-29 21:15:57+00,6
2026-04-29 21:16:02+00,7
2026-04-29 21:16:07+00,6
2026-04-29 21:16:12+00,7
2026-04-29 21:16:17+00,6
2026-04-29 21:16:22+00,7
2026-04-29 21:16:27+00,6
2026-04-29 21:16:32+00,7
2026-04-29 21:16:37+00,6
2026-04-29 21:16:42+00,7
2026-04-29 21:16:47+00,6
2026-04-29 21:16:52+00,7
2026-04-29 21:16:57+00,6
2026-04-29 21:17:02+00,6
2026-04-29 21:17:07+00,6
2026-04-29 21:17:12+00,7
2026-04-29 21:17:18+00,6
2026-04-29 21:17:22+00,7
2026-04-29 21:17:27+00,6
2026-04-29 21:17:32+00,7
2026-04-29 21:17:37+00,6
2026-04-29 21:17:42+00,7
2026-04-29 21:17:47+00,6
2026-04-29 21:17:52+00,7
2026-04-29 21:17:57+00,6
2026-04-29 21:18:02+00,7
2026-04-29 21:18:08+00,6
2026-04-29 21:18:12+00,7
2026-04-29 21:18:17+00,6
2026-04-29 21:18:22+00,7
2026-04-29 21:18:27+00,6
2026-04-29 21:18:32+00,7
2026-04-29 21:18:37+00,6
2026-04-29 21:18:42+00,7
2026-04-29 21:18:47+00,6
2026-04-29 21:18:52+00,7
2026-04-29 21:18:57+00,6
2026-04-29 21:19:03+00,7
2026-04-29 21:19:07+00,6
2026-04-29 21:19:12+00,7
2026-04-29 21:19:17+00,6
2026-04-29 21:19:22+00,7
2026-04-29 21:19:27+00,6
2026-04-29 21:19:32+00,7
2026-04-29 21:19:37+00,6
2026-04-29 21:19:42+00,7
2026-04-29 21:19:47+00,6
2026-04-29 21:19:52+00,7
2026-04-29 21:19:57+00,6
